,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
417,1281.4,426.72,177.6,43.04,16.24,1945.0
285,865.8,626.08,309.4,90.48,35.14,1926.9
719,958.2,343.84,137.7,36.88,12.04,1488.66
680,530.8,58.1,18.7,5.36,1.6,614.56
225,130.4,90.16,44.9,16.2,7.68,289.34
97,102.0,82.6,66.3,24.72,11.9,287.52
230,99.6,83.3,59.6,23.72,11.2,277.42
687,103.8,66.5,38.6,13.52,6.34,228.76
460,78.6,64.54,54.3,20.2,8.98,226.62
84,73.8,71.68,48.1,20.64,10.02,224.24
238,65.0,66.64,50.9,19.6,9.48,211.62
166,78.8,69.3,41.5,14.2,7.3,211.1
693,100.8,53.34,36.1,12.92,5.78,208.94
89,73.6,59.08,48.7,18.56,8.74,208.68
682,69.6,64.26,45.9,17.8,8.74,206.3
107,63.8,59.08,50.1,21.96,11.02,205.96
356,37.8,59.92,63.8,26.28,13.46,201.26
121,69.2,72.38,40.0,11.84,6.04,199.46
547,97.4,52.22,31.7,12.48,5.12,198.92
628,58.0,66.22,43.5,16.12,7.04,190.88
34,101.4,44.52,26.6,8.16,3.9,184.58
299,86.4,50.12,31.8,10.92,5.24,184.48
585,84.0,47.88,31.8,13.52,5.9,183.1
23,81.6,62.16,26.4,6.08,3.0,179.24
183,51.2,57.12,41.0,15.2,7.3,171.82
113,59.8,69.44,29.0,8.0,2.94,169.18
623,77.4,33.74,39.4,12.0,4.66,167.2
35,70.0,53.48,30.1,8.72,4.36,166.66
335,50.6,49.98,41.2,16.16,7.76,165.7
18,106.6,32.9,17.3,6.16,2.7,165.66
163,87.0,43.68,24.2,7.2,3.22,165.3
655,60.8,49.0,33.1,15.48,6.78,165.16
304,53.8,48.3,37.5,15.28,7.18,162.06
151,95.8,34.86,19.0,6.8,2.9,159.36
73,86.6,39.76,22.0,6.88,2.96,158.2
511,62.4,43.68,28.4,11.64,5.22,151.34
616,47.2,43.26,37.8,14.24,7.24,149.74
454,54.8,43.4,31.6,12.96,5.54,148.3
307,69.6,37.52,25.1,9.0,3.8,145.02
759,66.6,40.18,24.3,9.0,4.3,144.38
9,59.0,42.98,25.6,8.6,4.1,140.28
111,30.0,47.32,42.2,13.28,6.86,139.66
159,43.8,37.66,34.7,15.56,7.18,138.9
552,72.6,34.44,20.7,6.84,2.68,137.26
271,82.4,26.6,14.8,5.04,1.66,130.5
20,60.2,40.74,18.1,6.24,2.66,127.94
478,25.4,38.08,33.8,19.68,10.18,127.14
182,35.6,42.42,28.5,13.84,6.48,126.84
189,47.0,36.68,25.5,9.72,4.66,123.56
394,31.2,36.12,30.4,12.8,5.64,116.16
345,51.8,31.08,19.8,6.24,3.48,112.4
41,38.8,34.86,22.8,9.08,4.12,109.66
440,38.0,33.32,23.2,9.2,4.04,107.76
82,63.2,22.82,14.7,4.08,2.08,106.88
634,36.6,30.8,25.0,9.08,4.92,106.4
16,25.4,33.04,28.4,11.96,6.92,105.72
190,23.4,35.28,27.9,12.12,6.32,105.02
667,11.8,30.52,35.0,17.84,9.82,104.98
633,39.6,28.14,24.3,8.48,4.24,104.76
100,34.6,36.54,22.4,7.56,3.0,104.1
349,50.0,27.72,15.1,6.36,3.24,102.42
327,61.4,22.96,13.1,3.08,1.46,102.0
381,,60.62,28.4,8.8,3.44,101.26
425,35.2,29.54,21.7,9.2,4.42,100.06
139,13.8,40.18,27.2,12.08,6.04,99.3
421,29.8,27.86,23.3,11.28,5.4,97.64
446,29.6,30.1,22.1,9.28,4.22,95.3
663,26.6,28.42,24.9,8.68,4.82,93.42
305,42.6,26.04,15.8,6.04,2.24,92.72
240,21.8,26.74,26.1,11.8,5.38,91.82
648,31.2,27.58,19.5,7.72,4.02,90.02
131,22.4,25.2,23.9,11.8,6.58,89.88
727,20.0,27.3,25.0,10.96,5.04,88.3
479,30.0,25.06,19.7,7.92,4.66,87.34
365,39.4,23.38,14.1,6.64,2.26,85.78
243,16.2,22.82,24.0,13.88,7.54,84.44
746,22.0,26.74,22.9,8.16,4.42,84.22
343,28.4,25.34,18.8,6.64,4.0,83.18
317,40.0,22.82,12.1,4.96,2.32,82.2
653,,42.14,29.1,7.24,3.12,81.6
110,15.0,26.32,23.1,10.6,6.14,81.16
760,12.6,26.18,25.8,10.56,6.0,81.14
657,24.0,23.94,19.3,9.48,3.8,80.52
743,34.0,21.42,14.4,5.72,2.4,77.94
675,44.8,18.34,8.9,3.2,1.44,76.68
146,19.2,25.9,20.9,7.32,2.86,76.18
308,16.2,26.32,20.4,8.24,4.2,75.36
468,17.8,23.38,20.9,8.6,4.28,74.96
439,,12.88,28.1,19.52,13.66,74.16
109,16.4,22.82,20.1,9.84,4.9,74.06
772,16.6,19.88,20.8,9.88,5.24,72.4
643,30.8,19.32,13.6,5.48,2.54,71.74
195,41.8,15.12,7.9,2.44,1.08,68.34
665,28.2,19.46,13.3,5.0,2.22,68.18
636,20.0,18.76,17.7,6.88,4.02,67.36
45,33.6,17.36,10.9,3.48,1.62,66.96
152,23.0,16.94,17.2,6.76,3.0,66.9
274,41.4,13.58,6.9,3.04,1.12,66.04
625,23.2,19.88,14.6,5.36,2.76,65.8
94,38.8,16.1,7.0,2.72,1.08,65.7
153,19.0,21.14,16.8,4.84,2.26,64.04
433,17.4,17.08,16.7,7.48,4.32,62.98
104,18.6,20.16,15.2,5.92,2.96,62.84
416,17.8,15.12,17.8,7.44,3.94,62.1
296,2.4,18.2,21.6,12.36,7.12,61.68
650,16.4,17.64,16.5,6.72,3.36,60.62
385,17.4,18.76,15.0,6.12,3.18,60.46
465,14.4,17.78,16.8,6.52,3.74,59.24
194,14.4,19.6,15.6,5.64,2.98,58.22
258,32.4,13.02,8.0,3.32,1.42,58.16
580,17.0,20.44,12.7,5.8,2.14,58.08
367,9.6,15.82,16.7,10.24,5.36,57.72
459,13.0,23.1,13.4,5.6,2.52,57.62
203,12.2,15.12,16.5,8.36,5.22,57.4
723,24.4,16.66,9.7,3.32,2.04,56.12
150,17.8,14.84,13.3,6.56,2.68,55.18
588,21.6,15.96,11.5,3.84,1.76,54.66
43,9.8,12.04,19.1,8.44,4.82,54.2
164,16.6,15.12,13.4,5.48,3.04,53.64
765,11.8,18.34,15.2,5.44,2.8,53.58
658,15.0,14.7,14.2,6.08,2.88,52.86
572,6.8,16.38,19.5,6.08,3.32,52.08
377,24.4,13.58,9.2,2.96,1.38,51.52
101,3.8,13.86,18.4,9.56,5.78,51.4
670,5.6,16.24,16.6,8.16,4.7,51.3
574,23.4,12.04,9.8,3.72,1.9,50.86
118,13.8,15.54,13.4,5.36,2.48,50.58
560,12.6,13.02,13.0,7.24,4.58,50.44
83,20.0,14.14,10.2,3.44,1.52,49.3
290,16.2,18.06,9.6,3.6,1.28,48.74
244,14.4,13.86,11.8,5.8,2.86,48.72
500,11.8,16.52,12.7,5.4,2.18,48.6
551,16.0,13.16,12.7,4.76,1.84,48.46
487,3.2,18.76,14.6,7.16,3.68,47.4
143,10.0,13.44,13.5,6.28,3.48,46.7
29,15.0,11.9,11.6,4.64,2.7,45.84
447,8.4,13.02,13.8,6.72,3.84,45.78
306,15.8,13.72,9.8,3.96,1.64,44.92
220,10.8,14.42,11.9,4.84,2.42,44.38
210,8.8,13.44,12.8,5.44,3.7,44.18
254,2.8,15.68,15.3,6.88,3.32,43.98
237,8.4,10.22,14.3,6.88,3.9,43.7
40,7.6,14.28,11.6,5.92,3.72,43.12
362,27.2,9.52,4.5,1.4,0.5,43.12
3,19.4,9.94,7.9,2.56,1.48,41.28
409,10.2,12.32,10.8,4.96,2.44,40.72
563,5.2,13.58,14.1,5.32,2.22,40.42
624,20.6,10.5,6.5,2.04,0.76,40.4
209,12.2,11.62,9.3,4.2,2.92,40.24
486,15.0,10.78,8.9,3.72,1.68,40.08
282,14.0,12.6,8.0,3.6,1.6,39.8
604,8.6,13.02,10.3,4.68,2.48,39.08
112,9.0,11.62,11.8,4.44,1.72,38.58
732,6.6,10.08,12.4,6.12,3.16,38.36
21,12.2,12.6,9.0,2.8,1.64,38.24
288,9.6,10.36,11.2,4.68,2.38,38.22
594,20.0,8.96,5.7,2.36,0.88,37.9
449,,13.3,15.1,6.72,2.42,37.54
445,4.6,11.9,12.4,5.32,3.22,37.44
369,11.2,11.2,9.8,3.28,1.9,37.38
758,6.0,9.8,12.4,5.76,2.96,36.92
360,6.8,11.9,9.9,5.0,2.68,36.28
424,14.2,11.76,6.0,2.72,1.6,36.28
140,8.4,10.92,10.4,3.92,2.5,36.14
373,16.2,10.22,6.1,2.24,1.04,35.8
90,8.4,12.6,8.9,3.64,1.86,35.4
453,5.0,9.8,11.2,5.68,3.52,35.2
364,5.6,13.72,10.2,3.32,1.54,34.38
535,4.8,10.5,8.6,7.16,3.14,34.2
379,10.6,9.94,8.4,3.64,1.52,34.1
762,9.8,10.22,8.0,3.84,2.24,34.1
705,21.8,7.14,3.7,0.8,0.4,33.84
714,22.0,7.7,2.9,0.76,0.48,33.84
284,11.8,10.64,7.4,2.52,1.46,33.82
729,9.6,10.5,8.6,3.68,1.08,33.46
326,10.8,8.54,8.9,3.04,1.94,33.22
148,6.0,7.42,10.7,5.24,3.78,33.14
704,1.8,7.28,12.3,7.44,4.28,33.1
157,15.0,9.66,5.5,1.84,0.58,32.58
414,4.4,7.7,11.7,5.28,3.16,32.24
664,12.4,10.08,6.0,2.08,1.34,31.9
291,14.0,7.14,6.2,2.96,1.18,31.48
753,2.0,11.48,11.8,4.12,2.0,31.4
689,8.6,8.26,7.7,4.68,2.1,31.34
31,5.4,10.08,9.0,3.8,2.7,30.98
605,7.0,8.26,9.5,3.76,2.18,30.7
234,6.8,10.5,7.4,3.56,2.34,30.6
455,8.2,10.5,7.0,3.24,1.42,30.36
573,9.0,7.56,7.9,4.04,1.8,30.3
359,11.6,8.82,6.1,2.28,1.46,30.26
407,4.8,7.42,10.1,4.92,2.92,30.16
181,11.0,9.52,5.4,3.0,1.2,30.12
739,4.4,7.56,10.0,4.68,2.98,29.62
491,12.6,8.26,6.1,1.68,0.76,29.4
747,8.2,7.7,8.5,2.96,1.52,28.88
388,24.2,3.5,0.6,0.2,0.1,28.6
371,10.0,10.08,5.4,2.2,0.84,28.52
67,3.6,6.3,9.8,5.96,2.86,28.52
569,7.2,8.26,8.3,3.08,1.66,28.5
348,3.4,6.58,10.0,4.72,3.64,28.34
44,8.8,8.26,7.6,2.64,0.92,28.22
456,12.2,5.88,5.8,2.52,1.44,27.84
731,12.6,6.58,5.4,1.92,1.18,27.68
48,7.2,8.96,6.2,3.4,1.74,27.5
233,4.0,6.72,8.6,4.96,2.62,26.9
641,6.8,9.38,5.7,2.84,1.44,26.16
637,6.0,9.94,6.3,2.16,1.46,25.86
761,9.8,8.82,4.7,1.72,0.64,25.68
72,6.6,7.14,5.8,3.56,2.1,25.2
638,8.2,6.02,6.3,3.2,1.44,25.16
382,9.0,5.6,6.7,2.32,0.82,24.44
325,3.8,6.86,7.7,3.92,2.1,24.38
270,2.8,5.46,6.2,5.88,3.96,24.3
671,9.0,7.14,5.0,2.4,0.72,24.26
516,6.0,7.14,6.9,2.72,1.42,24.18
615,13.4,5.46,3.9,0.76,0.4,23.92
444,7.8,5.88,5.6,2.88,1.7,23.86
398,13.2,5.88,2.8,1.12,0.42,23.42
262,4.2,6.58,6.1,3.44,2.88,23.2
593,2.0,5.32,7.2,5.48,3.12,23.12
466,0.6,3.92,9.1,5.4,4.06,23.08
329,10.2,6.3,4.2,1.72,0.66,23.08
397,4.4,4.9,6.9,3.72,3.12,23.04
503,6.0,6.44,6.0,2.88,1.56,22.88
208,10.2,5.6,4.0,1.8,1.28,22.88
297,8.2,6.44,4.9,2.08,0.86,22.48
