,0,1,2,3,4
731,16.8,8.96,6.1,2.36,1.48
705,16.6,5.88,1.7,0.76,0.22
152,16.4,10.5,10.1,4.44,2.1
648,16.4,10.22,8.3,2.92,1.54
373,16.0,7.28,5.1,1.64,0.82
655,16.0,19.88,13.4,5.4,2.62
233,15.6,15.54,16.4,7.4,2.84
210,15.4,17.22,14.7,6.12,3.44
689,15.2,12.6,9.5,5.08,2.34
359,15.0,10.5,8.0,3.04,1.42
407,14.4,22.4,19.8,8.76,4.72
364,14.4,37.38,17.1,4.24,1.76
325,14.2,12.04,14.1,4.84,2.48
131,13.8,16.38,15.5,8.24,4.62
714,13.6,5.04,3.2,0.76,0.28
72,13.6,8.12,8.0,2.88,1.42
465,13.6,21.0,18.4,7.72,3.64
414,13.6,21.28,18.8,8.56,4.36
329,13.4,10.64,7.4,2.2,1.26
52,13.2,13.3,10.0,4.64,2.12
486,13.0,11.34,6.1,3.04,1.54
538,13.0,7.0,3.6,1.12,0.64
369,12.6,10.92,10.2,3.84,2.22
161,12.4,14.98,11.8,5.76,3.56
704,12.2,19.74,25.4,12.12,7.26
456,12.0,9.38,8.2,3.16,1.52
221,11.8,8.96,10.8,4.08,2.14
159,11.8,13.3,13.4,4.68,2.18
101,11.4,21.42,25.5,12.52,7.54
189,11.4,9.8,8.7,2.96,1.66
712,11.2,7.28,4.6,1.88,0.78
605,11.2,12.46,7.8,4.76,2.0
333,11.0,8.26,9.0,3.52,1.6
217,10.8,9.1,7.6,3.44,1.8
575,10.8,8.54,6.0,2.72,1.32
455,10.6,13.3,9.6,5.32,2.14
586,10.6,22.68,13.8,5.76,1.8
472,10.4,11.2,8.4,4.32,2.22
496,10.4,7.7,6.9,2.84,1.08
750,10.4,3.08,1.4,0.76,0.28
129,10.4,12.88,10.4,4.12,2.66
727,10.2,25.9,22.6,8.16,4.42
388,10.2,1.68,0.9,0.16,
402,10.2,2.52,0.8,0.52,0.12
3,10.2,5.18,3.1,1.8,0.86
462,10.0,3.92,2.9,0.96,0.48
105,9.8,10.08,5.6,3.56,1.6
383,9.6,2.8,1.6,0.52,0.12
416,9.6,10.78,8.9,3.68,2.24
380,9.4,0.84,0.1,0.04,0.04
90,9.4,12.04,11.7,4.32,2.5
263,9.2,8.96,9.3,4.2,1.94
518,9.2,8.26,7.2,3.4,1.5
259,9.2,21.56,13.6,7.04,3.18
762,8.8,8.96,8.4,3.68,1.8
272,8.8,4.9,9.0,4.24,2.32
46,8.6,11.48,9.2,3.76,1.82
264,8.6,9.1,12.2,5.4,3.48
418,8.4,5.18,7.2,3.32,1.52
397,8.2,9.66,10.1,6.2,3.36
39,8.0,9.24,9.8,4.68,2.58
624,8.0,2.66,2.6,0.84,0.48
658,7.8,9.52,6.5,3.4,1.92
638,7.6,11.06,8.7,3.52,1.78
695,7.6,5.04,2.2,1.32,0.62
753,7.6,26.32,18.3,5.8,3.18
581,7.6,4.06,4.3,2.52,1.1
531,7.4,5.18,3.5,1.48,0.5
592,7.4,9.38,10.7,5.64,2.58
273,7.2,10.78,7.8,3.76,1.94
573,7.2,5.46,4.7,2.12,0.98
439,7.0,22.4,40.4,26.04,16.82
481,7.0,16.1,9.8,4.44,2.66
732,6.8,6.3,9.5,4.24,2.5
743,6.8,4.48,2.7,1.16,0.72
91,6.8,5.32,6.5,3.16,1.74
139,6.8,19.32,12.9,5.72,3.12
526,6.8,7.0,3.3,1.8,1.0
574,6.6,5.18,2.1,1.12,0.52
179,6.6,5.04,3.0,1.32,0.64
254,6.6,17.5,17.0,7.0,4.1
258,6.4,3.22,1.4,0.8,0.32
110,6.2,13.44,12.0,6.48,3.52
565,6.2,4.06,3.8,2.44,0.94
543,6.0,9.38,9.7,4.84,2.96
438,5.8,5.04,2.8,1.68,0.52
344,5.8,2.8,3.4,2.28,0.62
319,5.6,6.86,5.5,2.24,1.08
419,5.6,6.72,4.3,2.56,1.06
83,5.6,4.62,2.3,0.8,0.52
243,5.6,7.14,5.7,3.32,2.08
170,5.6,8.82,8.1,3.32,1.84
662,5.2,4.34,4.6,1.64,1.08
671,5.2,2.38,2.9,0.72,0.7
173,5.2,7.0,7.0,3.48,2.32
436,5.0,10.64,8.7,3.72,1.7
180,5.0,5.32,4.9,1.8,0.9
276,5.0,8.54,9.4,5.92,3.56
262,5.0,6.44,5.5,3.32,2.28
363,4.8,4.06,2.3,1.04,0.52
186,4.8,1.26,1.3,0.44,0.22
447,4.8,5.88,5.6,2.6,1.66
382,4.6,3.5,3.9,1.24,0.66
367,4.6,3.64,4.9,2.32,1.6
32,4.6,4.48,3.5,1.32,0.6
577,4.6,5.46,5.3,2.56,1.58
513,4.6,1.54,1.2,0.52,0.24
120,4.6,2.38,3.2,0.72,0.5
692,4.4,1.54,0.6,0.36,0.04
664,4.4,3.36,2.2,0.52,0.38
669,4.4,3.36,3.5,0.8,0.68
403,4.4,4.06,4.0,1.8,0.9
350,4.4,2.52,1.3,0.16,0.12
169,4.2,6.02,4.7,2.0,1.52
519,4.2,5.46,5.1,2.48,1.58
44,4.2,3.08,3.0,1.04,0.62
497,4.0,4.62,5.2,2.64,1.36
406,4.0,2.94,1.2,0.48,0.16
26,4.0,5.04,4.2,1.52,0.76
739,4.0,9.24,9.3,5.36,2.22
535,4.0,9.24,12.1,6.12,3.72
588,4.0,3.08,1.5,0.56,0.48
424,3.8,5.46,2.5,1.4,0.64
560,3.8,4.48,5.0,3.4,1.56
208,3.8,2.38,2.7,1.16,0.58
467,3.8,0.56,3.2,0.68,0.32
444,3.8,4.9,3.4,1.64,0.64
11,3.8,5.6,3.9,1.92,0.92
589,3.8,5.88,4.1,1.72,1.18
123,3.8,1.4,2.0,1.32,0.42
293,3.6,5.46,7.1,2.6,1.96
341,3.6,2.52,1.7,0.8,0.42
453,3.6,4.9,5.0,2.2,1.98
309,3.6,1.54,1.7,0.48,0.34
50,3.6,3.08,2.1,1.88,0.84
378,3.4,3.92,3.5,1.88,1.18
206,3.4,2.38,1.9,0.4,0.16
291,3.2,1.96,1.3,0.92,0.32
164,3.0,3.08,2.4,0.76,0.6
721,3.0,5.74,5.4,2.84,1.62
348,3.0,7.56,10.9,6.16,3.6
501,3.0,2.8,2.4,1.24,0.7
530,2.8,4.48,5.7,2.96,1.62
193,2.8,5.32,4.4,2.68,1.4
223,2.8,3.92,3.0,1.28,0.52
255,2.8,4.62,4.0,2.08,1.26
715,2.8,0.98,1.2,0.48,0.3
701,2.8,5.04,2.4,0.96,0.6
699,2.8,3.22,3.5,1.28,0.58
340,2.8,1.96,2.6,0.72,0.72
143,2.6,3.08,2.7,1.16,0.7
505,2.6,5.18,4.4,2.04,1.4
676,2.6,0.84,0.9,0.32,0.08
48,2.6,2.38,2.2,0.96,0.5
466,2.4,5.88,8.6,4.8,3.66
13,2.4,4.34,3.1,1.16,0.5
613,2.4,2.1,3.4,1.0,0.56
570,2.4,2.8,1.3,0.76,0.28
87,2.4,7.14,7.1,3.56,2.5
209,2.2,2.52,3.4,1.32,0.58
222,2.2,1.4,0.9,0.12,0.08
337,2.2,3.78,3.7,1.64,1.58
148,2.2,2.38,4.2,2.08,1.12
412,2.2,7.42,8.6,3.52,1.98
67,2.2,5.18,4.8,2.44,1.96
269,2.2,1.82,2.2,1.2,0.72
733,2.2,1.82,2.3,0.68,0.46
451,2.2,1.4,0.6,0.24,0.1
342,2.0,1.54,0.8,0.44,0.3
136,2.0,2.8,4.9,2.52,2.14
270,2.0,4.06,7.7,5.64,3.54
728,2.0,1.96,1.8,0.56,0.22
747,2.0,2.66,3.3,1.0,0.56
297,2.0,1.4,0.8,0.68,0.18
726,2.0,2.94,2.6,1.0,0.58
133,2.0,3.5,4.1,1.8,1.0
698,1.8,5.04,4.6,2.4,1.34
134,1.8,1.54,1.8,1.2,0.62
598,1.8,1.12,0.9,0.36,0.1
711,1.8,0.98,1.3,0.84,0.5
220,1.8,1.4,1.7,0.84,0.42
