,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
794,3100.6,521.22,199.7,56.16,22.38,3900.06
111,504.4,226.8,100.9,32.4,15.5,880.0
608,421.6,243.74,79.3,25.0,10.82,780.46
668,348.0,371.7,271.8,115.8,58.4,1165.7
150,321.4,190.26,84.7,24.08,10.06,630.5
756,298.0,218.96,151.2,52.08,27.18,747.42
141,199.6,161.56,98.9,36.6,15.9,512.56
62,197.4,458.92,421.2,145.36,63.66,1286.54
193,175.8,142.38,95.6,33.4,15.4,462.58
513,158.6,90.58,63.9,18.28,8.14,339.5
623,157.2,191.24,150.1,55.44,28.58,582.56
620,137.2,84.28,57.9,17.96,8.12,305.46
586,135.8,66.22,34.3,13.4,5.4,255.12
291,134.2,91.56,50.8,18.96,7.94,303.46
95,119.0,75.32,48.9,16.88,8.12,268.22
709,118.8,92.4,61.0,23.72,11.6,307.52
456,112.6,125.86,67.6,20.2,7.18,333.44
351,102.4,65.94,30.1,9.2,4.26,211.9
505,97.6,40.18,25.8,9.2,4.66,177.44
821,95.2,54.46,34.1,10.96,5.5,200.22
87,89.6,51.38,29.7,11.68,5.78,188.14
624,80.2,34.72,18.5,7.24,2.88,143.54
983,78.4,19.18,10.2,2.8,1.04,111.62
1080,78.4,64.26,40.9,12.48,6.1,202.14
60,73.6,74.48,46.0,18.72,8.64,221.44
563,71.0,35.84,20.8,7.04,3.62,138.3
167,70.6,56.98,40.0,18.4,8.46,194.44
49,66.8,34.02,17.0,5.36,2.64,125.82
1074,66.4,57.96,27.7,8.84,3.58,164.48
363,63.0,35.42,16.3,5.32,2.14,122.18
237,63.0,55.3,46.9,20.28,9.08,194.56
851,61.2,38.92,25.3,8.76,3.92,138.1
956,61.0,50.54,33.6,13.96,4.9,164.0
388,58.2,54.18,39.1,15.88,6.82,174.18
1,55.2,33.32,18.0,6.24,3.04,115.8
444,54.4,43.68,20.4,6.16,2.62,127.26
426,52.4,60.9,40.5,16.12,7.58,177.5
25,52.4,47.88,28.6,10.04,5.32,144.24
928,51.4,81.34,76.4,31.44,15.86,256.44
585,51.4,28.42,17.9,5.92,2.66,106.3
520,50.8,81.48,52.5,23.8,11.18,219.76
79,50.4,70.42,63.9,29.72,17.3,231.74
152,49.8,38.22,25.8,9.92,4.92,128.66
703,46.0,49.0,40.5,14.96,7.96,158.42
759,44.2,45.92,37.5,15.4,7.96,150.98
48,43.4,73.22,41.3,17.2,7.82,182.94
973,42.6,27.3,16.3,5.84,2.52,94.56
735,42.4,20.72,11.3,3.96,1.94,80.32
415,41.6,43.96,27.6,8.68,3.54,125.38
64,41.4,222.04,164.9,73.2,40.6,542.14
356,41.2,58.1,39.0,14.64,7.26,160.2
208,40.8,33.46,26.8,9.04,5.38,115.48
1046,39.6,65.24,39.1,13.48,6.86,164.28
100,38.2,29.68,17.3,7.48,2.62,95.28
815,37.0,80.08,61.5,23.2,13.08,214.86
635,36.6,18.34,11.0,4.28,2.16,72.38
618,36.0,36.12,27.9,13.52,7.46,121.0
144,31.8,36.12,34.6,13.76,6.76,123.04
622,31.4,32.34,30.0,12.68,6.58,113.0
109,31.4,13.72,8.1,2.96,1.58,57.76
253,30.6,23.8,18.8,7.24,3.76,84.2
838,29.6,31.64,18.2,7.28,3.24,89.96
810,29.6,21.0,9.9,3.64,1.4,65.54
149,28.4,15.68,5.9,1.92,0.94,52.84
230,27.8,35.98,30.7,15.16,9.42,119.06
921,27.4,34.44,25.4,8.4,3.86,99.5
1022,26.6,19.88,14.3,7.0,3.64,71.42
484,25.2,25.9,18.1,7.28,3.16,79.64
689,24.0,13.72,8.3,2.48,1.34,49.84
176,23.8,14.0,9.9,3.48,1.26,52.44
765,22.0,10.22,4.7,1.48,0.84,39.24
321,21.4,12.74,6.5,1.92,1.16,43.72
423,20.8,16.8,13.1,4.36,2.92,57.98
130,20.6,16.8,9.9,2.8,1.66,51.76
999,20.4,7.42,5.2,1.76,0.88,35.66
726,20.0,12.46,6.0,2.2,1.06,41.72
576,19.8,16.66,9.3,2.88,1.5,50.14
1044,18.6,12.46,8.9,2.72,1.74,44.42
932,18.2,18.06,8.4,3.16,1.38,49.2
782,14.4,18.48,6.3,2.4,0.84,42.42
954,13.8,21.7,24.6,11.36,7.24,78.7
201,13.6,14.98,15.2,5.56,2.96,52.3
459,13.2,32.2,40.9,20.0,11.92,118.22
318,13.2,36.68,42.9,20.72,11.54,125.04
41,13.0,30.1,27.8,14.36,8.34,93.6
1051,12.8,8.54,10.8,3.88,2.28,38.3
430,12.8,28.56,30.2,15.32,9.82,96.7
697,12.2,22.68,25.8,15.0,9.08,84.76
139,12.0,10.5,8.3,3.4,2.22,36.42
854,11.6,25.06,30.1,18.6,10.56,95.92
799,11.4,7.7,8.1,2.8,1.42,31.42
449,10.6,15.26,11.0,5.16,3.1,45.12
685,10.2,14.0,12.5,4.76,2.62,44.08
416,10.0,6.3,3.0,1.48,0.58,21.36
555,9.4,13.16,9.9,4.16,2.02,38.64
822,9.2,12.46,8.1,5.04,2.76,37.56
718,8.8,4.9,3.1,1.48,0.88,19.16
805,8.4,9.8,8.6,4.48,3.06,34.34
1075,8.0,14.84,9.4,5.52,2.3,40.06
812,7.6,8.26,8.4,3.36,2.06,29.68
678,7.2,5.18,4.2,1.84,1.06,19.48
377,7.2,30.38,22.9,10.96,5.9,77.34
90,7.0,23.94,32.0,18.8,13.12,94.86
1002,7.0,7.98,7.4,4.96,2.96,30.3
614,7.0,7.42,2.9,1.12,0.5,18.94
10,7.0,12.46,16.9,7.84,5.38,49.58
421,6.8,5.74,3.9,1.16,0.64,18.24
372,6.6,3.08,1.2,0.4,0.22,11.5
893,6.6,2.38,1.8,0.84,0.38,12.0
1009,6.4,13.44,16.4,8.04,5.98,50.26
1032,6.2,6.44,4.4,1.84,1.04,19.92
552,6.2,7.56,8.3,4.4,1.92,28.38
1004,6.0,8.96,7.5,4.28,2.0,28.74
612,5.8,12.18,12.0,5.16,2.8,37.94
346,5.8,12.32,11.5,4.4,2.76,36.78
656,5.4,9.66,10.4,5.8,2.74,34.0
283,5.2,5.74,2.1,0.44,0.3,13.78
836,5.0,14.7,16.7,10.36,5.14,51.9
993,5.0,2.94,0.8,0.72,0.26,9.72
92,5.0,4.48,3.5,1.4,0.44,14.82
734,4.8,8.12,5.7,2.28,1.28,22.18
453,4.6,6.44,3.9,1.64,0.92,17.5
277,4.4,3.78,4.3,2.04,0.78,15.3
457,4.4,9.8,8.1,2.72,1.44,26.46
775,4.2,37.52,22.6,12.04,4.68,81.04
12,4.0,7.84,5.2,1.88,0.7,19.62
21,3.8,8.12,8.8,4.56,3.02,28.3
327,3.8,32.9,31.7,13.52,5.84,87.76
538,3.6,1.82,0.8,0.52,0.34,7.08
770,3.6,4.76,1.5,0.84,0.48,11.18
123,3.4,11.48,12.0,5.56,2.88,35.32
80,3.4,2.94,2.7,0.88,0.44,10.36
975,3.4,5.18,7.8,4.4,2.84,23.62
897,3.0,4.9,3.3,1.28,0.86,13.34
424,3.0,7.7,5.8,2.36,1.48,20.34
306,2.6,1.4,2.0,0.64,0.5,7.14
769,2.6,5.88,4.9,1.4,0.76,15.54
529,2.6,3.64,2.4,1.16,0.4,10.2
693,2.6,13.3,16.7,8.52,5.56,46.68
767,2.6,0.56,0.5,0.12,0.02,3.8
863,2.4,1.4,2.1,1.04,0.4,7.34
995,2.0,5.04,5.0,2.4,1.46,15.9
1010,2.0,0.56,0.1,0.08,0.02,2.76
646,2.0,1.96,1.7,0.92,0.54,7.12
477,2.0,1.82,3.4,0.56,0.78,8.56
707,1.8,5.74,7.4,4.36,2.32,21.62
94,1.8,3.5,3.2,1.88,1.06,11.44
650,1.8,2.1,1.6,1.16,0.62,7.28
723,1.6,1.4,0.5,0.64,0.18,4.32
700,1.6,0.42,0.2,0.16,0.04,2.42
528,1.6,1.26,1.2,0.8,0.4,5.26
923,1.6,2.1,3.1,1.56,1.28,9.64
1034,1.4,1.68,1.7,0.36,0.16,5.3
843,1.4,0.56,0.2,0.12,0.08,2.36
716,1.4,1.54,1.7,0.56,0.28,5.48
567,1.4,2.52,5.0,2.48,1.18,12.58
989,1.4,1.54,1.2,0.24,0.24,4.62
284,1.4,0.84,0.6,0.2,0.08,3.12
13,1.2,1.12,0.9,0.84,0.5,4.56
556,1.2,1.26,0.4,0.2,0.14,3.2
704,1.0,3.22,3.2,2.48,1.12,11.02
702,1.0,1.96,1.5,0.72,0.56,5.74
541,1.0,1.54,0.9,0.28,0.22,3.94
175,1.0,2.66,3.5,2.72,1.56,11.44
65,0.8,3.08,0.8,0.08,0.06,4.82
801,0.8,2.52,2.7,1.2,1.08,8.3
740,0.8,2.24,3.0,1.24,0.92,8.2
354,0.8,0.7,1.0,0.44,0.22,3.16
522,0.8,2.66,1.8,1.32,0.98,7.56
341,0.8,1.4,2.3,1.08,0.7,6.28
1019,0.8,1.26,1.7,0.76,0.28,4.8
437,0.8,0.56,0.4,0.16,0.08,2.0
912,0.8,3.92,2.6,1.12,0.32,8.76
1076,0.8,1.26,1.1,0.8,0.52,4.48
994,0.6,4.2,3.2,1.12,0.68,9.8
168,0.6,1.68,0.6,0.8,0.38,4.06
246,0.6,0.28,0.5,0.36,0.18,1.92
798,0.6,0.14,,,,0.74
950,0.6,1.4,1.5,0.84,0.36,4.7
1050,0.6,0.42,0.3,0.04,0.04,1.4
