,0,1,2,3,4
423,24.1,21.42,14.15,5.7,2.9
989,23.5,24.85,12.95,4.08,2.13
284,23.5,8.54,3.65,1.56,0.69
892,23.4,7.77,2.55,0.42,0.12
477,23.3,19.74,14.35,5.44,2.54
249,23.2,8.47,4.45,1.44,0.64
825,23.1,16.31,11.35,5.02,2.29
381,22.9,9.87,5.05,1.24,0.4
571,22.9,17.43,13.6,5.32,2.4
481,22.8,14.14,8.8,4.14,1.85
966,22.8,18.76,13.65,4.94,2.46
73,22.8,23.94,19.65,7.42,3.53
306,22.4,19.81,13.05,5.4,2.6
14,22.4,20.09,16.6,7.26,3.58
12,22.4,12.6,5.8,2.0,1.05
111,22.3,10.15,6.3,1.9,1.04
201,22.3,20.51,14.4,5.9,2.81
778,22.3,7.84,4.5,1.32,0.66
86,22.2,21.28,14.2,5.04,2.19
720,22.2,6.65,2.65,1.2,0.37
369,22.2,16.17,9.0,3.08,1.73
375,22.2,12.39,8.8,3.26,1.66
413,22.0,7.14,4.2,1.06,0.34
685,21.9,26.04,16.3,6.46,2.85
377,21.6,17.71,13.7,5.1,2.49
772,21.4,9.31,5.8,2.22,1.09
616,21.3,14.91,10.55,4.38,2.0
228,21.3,23.38,17.25,6.86,3.28
1044,21.2,10.92,8.15,3.5,1.41
147,20.9,13.44,7.5,2.22,0.97
475,20.7,11.83,7.3,2.76,1.12
735,20.7,8.47,5.05,1.76,0.79
479,20.6,9.73,6.4,1.98,1.14
593,20.5,18.62,14.6,5.3,2.9
537,20.5,11.2,9.3,3.08,1.39
246,20.4,15.47,11.05,4.22,2.47
628,20.2,28.14,24.4,10.5,5.0
520,20.2,17.78,11.55,4.76,2.59
1025,20.0,10.01,6.9,3.06,1.54
608,19.9,7.42,4.2,1.06,0.66
733,19.8,13.3,9.6,3.94,2.13
1075,19.4,14.56,11.8,4.04,1.98
640,19.2,13.44,8.95,3.9,1.66
805,19.1,13.37,12.3,4.86,2.42
1067,19.1,17.29,12.1,5.18,2.49
321,18.9,8.33,6.4,2.14,0.95
211,18.7,11.48,8.75,2.46,1.23
264,18.7,4.34,2.0,0.56,0.37
324,18.4,4.27,1.85,0.96,0.35
829,18.4,11.27,7.55,2.28,0.98
87,18.4,10.5,7.35,3.2,1.43
92,18.3,8.47,5.35,1.7,0.99
25,18.2,12.81,7.5,2.62,1.32
589,18.2,14.35,10.0,4.3,2.08
41,18.0,15.61,10.35,4.64,2.45
82,17.9,14.56,12.65,4.98,2.24
346,17.8,26.11,18.8,6.56,2.94
265,17.8,20.51,11.0,3.42,1.17
677,17.7,13.72,11.15,4.38,2.07
964,17.6,12.88,12.2,3.84,2.09
453,17.6,15.89,11.6,5.0,2.34
858,17.5,6.58,3.8,1.2,0.68
841,17.5,23.24,18.65,6.3,3.17
534,17.3,13.93,10.35,4.54,2.2
915,17.3,9.03,6.8,2.16,0.92
224,17.2,9.66,6.0,2.12,0.85
977,17.1,11.9,7.6,2.76,1.32
419,17.0,19.81,17.4,7.06,3.29
178,16.9,12.11,8.6,3.4,2.01
