,0,1,2,3,4
379,20.6,11.62,9.5,3.7,1.58
139,20.5,24.08,21.0,8.1,3.92
750,20.4,6.86,4.3,1.32,0.69
629,20.2,18.55,17.2,8.04,4.1
131,19.7,18.13,18.0,7.42,4.26
592,19.7,16.52,16.4,7.56,3.91
555,19.5,20.51,19.4,8.82,4.24
233,19.0,21.49,18.3,8.52,4.33
634,18.4,14.49,10.8,4.92,2.4
414,18.4,25.62,22.05,9.66,5.36
364,18.3,37.94,13.25,4.38,1.78
258,18.2,11.34,5.9,2.14,0.74
360,18.1,19.6,16.85,6.44,3.38
581,17.7,16.94,12.7,6.02,2.96
589,17.7,15.75,12.05,4.42,2.24
90,17.3,18.27,14.65,5.72,3.01
655,17.3,16.38,13.45,5.58,2.56
633,17.3,12.74,9.85,3.38,2.17
11,17.1,13.02,9.6,3.58,2.01
496,17.0,13.58,9.2,3.7,1.93
594,16.9,7.84,4.6,1.28,0.56
259,16.8,28.07,19.75,8.54,4.39
133,16.6,12.95,10.4,4.36,2.38
519,16.5,10.36,10.3,4.34,2.26
615,16.5,7.98,4.2,0.96,0.44
255,16.4,15.4,13.65,6.32,3.01
761,15.9,10.29,5.35,1.7,0.62
535,15.6,28.0,25.95,12.52,6.85
421,15.5,13.93,13.1,5.96,2.7
688,14.9,15.96,13.9,6.26,3.56
648,14.7,11.69,8.1,2.94,1.49
181,14.6,10.15,6.85,2.62,1.05
284,14.3,6.51,4.45,2.0,0.89
563,14.0,14.07,10.95,3.82,1.59
402,13.9,2.52,1.75,0.52,0.26
105,13.9,14.56,12.5,4.5,2.42
486,13.9,9.24,7.25,2.8,1.47
762,13.9,12.67,8.8,4.34,2.18
407,13.3,11.34,10.45,4.58,2.55
714,13.2,3.15,2.4,0.62,0.16
698,13.0,17.01,13.9,6.7,3.39
208,13.0,8.05,6.1,2.16,1.0
388,12.9,2.8,0.65,0.16,0.08
273,12.8,16.73,14.05,5.06,2.96
719,12.8,17.71,16.45,7.2,4.05
317,12.3,5.81,3.85,1.26,0.66
264,12.3,13.58,14.55,5.72,3.1
753,12.0,38.15,23.05,7.5,3.22
543,11.9,15.61,15.1,7.24,3.73
16,11.9,14.98,13.55,5.82,3.18
701,11.9,9.52,5.45,1.98,0.98
26,11.8,10.85,8.05,2.68,1.28
293,11.4,18.62,16.15,7.8,3.46
726,11.4,11.76,9.7,4.18,2.43
455,11.3,10.15,10.05,3.48,1.79
715,11.3,6.23,3.6,1.5,0.66
3,11.0,9.03,5.8,2.0,0.86
203,11.0,13.02,14.6,6.3,3.8
638,11.0,9.38,8.45,3.34,1.95
369,10.9,14.14,10.95,5.42,2.92
406,10.8,3.85,2.6,0.56,0.27
21,10.8,7.42,5.45,2.08,0.9
526,10.5,10.29,9.5,3.4,1.95
74,10.4,15.96,15.6,7.22,4.23
723,10.1,6.65,5.45,2.04,1.02
136,10.0,11.41,12.0,5.78,2.87
39,10.0,11.06,10.2,5.42,2.84
348,9.7,19.32,24.2,10.5,6.08
662,9.6,9.87,6.3,3.08,1.7
110,9.5,15.54,16.05,8.26,4.47
613,9.5,15.26,6.9,2.92,1.3
650,9.5,9.03,7.7,3.56,1.65
766,9.4,5.53,3.8,1.14,0.5
671,9.4,6.79,4.2,2.0,0.87
538,9.1,5.81,4.25,1.58,0.57
398,8.7,3.43,1.55,0.42,0.33
736,8.6,6.65,5.9,2.26,1.11
636,8.5,7.7,7.85,3.26,1.44
747,8.5,11.48,8.5,3.0,1.58
254,8.4,24.78,22.85,9.88,4.05
576,8.2,12.53,10.65,6.56,3.48
367,8.0,10.5,10.9,5.28,3.05
350,7.7,2.73,1.25,0.52,0.19
743,7.6,6.23,4.05,1.54,0.64
676,7.5,3.99,3.35,1.14,0.49
466,7.5,14.7,18.0,10.38,6.12
221,7.4,7.42,5.3,2.88,1.74
380,7.3,1.05,0.1,0.08,0.03
159,7.2,6.72,6.05,2.92,1.6
705,7.2,3.99,1.35,0.6,0.21
403,7.1,7.77,6.8,2.92,1.52
48,7.1,9.73,8.15,3.34,1.8
91,7.0,10.22,7.95,4.18,1.72
732,6.9,8.75,8.4,3.94,2.36
484,6.9,5.25,3.5,1.28,0.65
2,6.6,9.66,9.45,5.04,2.65
669,6.5,4.55,4.8,1.88,0.92
574,6.5,4.34,2.85,1.18,0.49
560,6.4,8.19,10.1,4.84,2.66
624,6.3,2.87,2.05,0.66,0.21
170,6.3,7.07,5.35,2.42,1.45
472,6.2,6.86,4.05,1.9,1.23
337,6.1,7.98,7.35,4.9,2.65
444,6.0,3.71,3.15,1.7,0.74
423,6.0,8.4,7.6,3.38,1.7
148,5.9,8.05,10.2,5.14,2.93
344,5.9,4.2,3.5,2.46,0.92
193,5.8,8.05,9.1,4.1,2.24
692,5.7,1.33,0.75,0.24,0.07
326,5.6,5.39,4.6,2.5,1.22
721,5.6,9.31,7.6,3.72,1.91
129,5.6,7.56,5.9,3.22,1.72
272,5.5,3.85,9.7,3.96,1.9
260,5.4,5.95,5.25,3.28,1.63
276,5.4,12.53,14.3,7.1,4.08
467,5.3,0.84,3.25,0.86,0.3
531,5.3,3.15,2.65,1.06,0.46
161,5.3,5.53,6.2,2.44,1.67
143,5.3,4.55,4.2,1.92,1.02
733,5.0,3.36,3.55,1.44,0.68
83,5.0,5.46,2.95,1.08,0.45
565,5.0,3.99,5.05,1.98,0.99
114,4.9,7.63,8.4,4.36,2.09
575,4.7,3.57,3.2,1.04,0.76
577,4.6,5.67,5.4,2.14,1.35
446,4.6,11.9,8.85,3.98,1.99
32,4.5,4.41,3.5,0.86,0.35
125,4.5,19.04,16.45,8.2,4.45
657,4.5,3.92,4.8,2.0,1.17
291,4.4,3.43,2.05,0.74,0.29
347,4.4,6.37,5.25,2.68,1.84
