,0,1,2,3,4
80,0.2,0.98,0.6,0.48,0.26
529,0.2,1.4,1.0,0.68,0.3
159,0.2,0.84,4.0,3.52,3.44
1059,0.2,1.12,0.9,0.72,0.28
284,0.2,0.14,0.2,,0.02
6,0.2,0.7,0.4,0.68,0.7
430,0.2,5.32,7.1,4.36,4.02
569,0.2,0.56,1.3,0.72,0.58
498,0.2,0.14,,,
994,0.2,4.06,2.1,0.76,0.38
950,0.2,0.14,0.5,0.24,0.16
354,0.2,0.28,0.4,0.36,0.14
704,0.2,2.1,2.5,1.84,1.3
716,0.2,0.42,0.4,0.12,0.2
719,0.2,,0.3,0.12,0.04
843,0.2,0.14,0.1,0.08,0.02
397,0.2,0.28,0.3,0.2,0.12
767,0.2,,0.4,0.16,0.02
769,0.2,3.08,3.2,1.04,0.52
770,0.2,1.68,1.1,0.36,0.16
12,0.2,6.16,4.2,1.52,0.6
21,,0.42,0.7,0.56,0.3
23,,,,0.04,0.08
24,,0.28,0.2,0.16,0.12
28,,0.14,0.5,0.16,0.34
29,,,,0.04,
31,,,0.2,0.08,0.08
33,,,,,0.02
37,,,,0.04,0.04
38,,,,0.08,0.04
43,,,,,0.14
51,,0.14,0.2,0.04,0.02
52,,,,,0.04
65,,,0.4,0.04,0.02
72,,,0.1,0.2,0.08
82,,0.42,,0.04,
91,,,,,0.02
94,,1.12,1.6,0.88,0.68
99,,,0.1,,0.12
112,,,0.1,0.28,0.14
116,,,0.1,0.04,0.04
129,,,,,0.02
133,,,,0.04,
135,,,,0.04,0.1
158,,,,,0.02
168,,,,,0.02
175,,0.28,0.6,1.24,0.94
219,,,,,0.16
221,,,,0.04,0.14
233,,,,,0.02
235,,50.54,387.1,186.88,79.76
242,,,0.1,,0.02
256,,0.28,0.4,0.2,0.06
266,,,,0.08,0.1
274,,,0.1,,
300,,0.14,,0.16,0.16
301,,,,,0.02
306,,0.28,0.1,0.12,0.12
313,,,,,0.02
315,,,,,0.02
329,,,,0.04,0.02
335,,,0.1,,
340,,,0.3,0.08,0.06
341,,,,0.04,
346,,0.84,1.9,0.92,0.64
396,,,,0.04,
412,,,,0.04,
414,,,0.5,,
420,,0.42,0.2,0.24,0.12
424,,0.28,0.5,0.12,0.14
427,,,0.1,,0.06
437,,1.12,0.3,,0.08
438,,0.42,0.3,0.24,0.08
447,,,0.2,0.12,0.18
449,,0.56,0.9,0.8,0.48
467,,,0.1,0.2,
474,,,0.1,,0.08
522,,,,0.04,0.02
541,,,0.2,0.08,0.04
544,,,,0.04,
549,,0.56,1.7,0.32,0.18
556,,0.28,,,
567,,,0.1,0.12,0.1
568,,,,0.04,0.04
570,,,0.2,0.16,0.1
575,,0.42,,0.16,0.2
589,,0.42,,,0.02
593,,0.14,,,
600,,,,0.04,
636,,128.94,98.4,37.64,16.94
650,,0.56,0.6,0.52,0.28
656,,0.56,0.7,0.52,0.5
693,,7.28,10.5,5.52,3.58
694,,,,,0.02
702,,,,,0.02
707,,1.96,4.5,2.24,1.62
722,,,0.1,,
740,,0.28,0.9,0.64,0.52
746,,,,0.04,
747,,,,0.08,0.02
751,,0.42,0.6,0.24,0.08
758,,,,,0.02
761,,0.98,2.2,0.96,0.82
777,,0.56,0.5,0.56,0.46
781,,,,0.04,
786,,0.14,,,0.02
801,,0.14,0.1,,0.02
805,,1.96,0.8,1.0,0.7
813,,,0.3,0.28,0.28
820,,,,,0.02
