,0,1,2,3,4
417,2297.0,540.96,188.4,46.0,15.56
285,1238.8,944.02,416.6,121.2,45.06
719,1163.8,414.82,127.9,28.36,10.28
680,334.6,34.3,10.4,2.8,0.92
35,85.6,60.76,35.5,11.84,5.46
307,76.0,45.64,32.8,11.36,4.82
163,75.8,37.66,22.7,7.04,2.96
23,73.2,51.24,22.6,5.48,2.68
687,65.0,36.26,25.9,10.2,4.2
271,64.4,21.98,13.5,3.88,1.52
682,63.6,60.34,41.6,17.2,9.64
552,62.4,35.84,19.9,6.96,2.84
182,62.4,71.96,59.1,22.16,11.66
454,61.4,47.04,32.2,14.24,4.96
151,57.0,21.42,14.0,4.36,1.98
97,56.6,45.64,37.5,14.0,6.98
628,55.2,58.24,46.1,18.64,8.32
345,55.0,34.72,26.8,10.24,3.92
20,54.8,28.7,16.5,4.72,2.16
304,53.4,57.96,40.8,14.36,7.52
225,51.6,34.44,23.9,8.32,3.44
41,51.2,52.78,37.9,13.28,6.02
675,49.0,23.66,12.6,4.36,1.64
365,47.4,34.02,21.6,7.2,3.78
111,46.2,83.86,70.6,26.72,10.44
153,46.2,46.34,31.8,12.84,5.9
759,46.2,32.9,23.3,8.24,3.46
113,46.0,56.7,25.4,8.68,2.4
460,45.4,43.96,35.7,13.36,6.66
356,44.6,85.54,83.5,36.76,19.54
18,44.6,17.78,10.2,3.32,1.48
73,44.4,23.94,17.8,4.48,1.8
195,44.2,18.06,11.4,4.08,1.38
440,43.0,43.12,34.9,11.08,5.36
479,43.0,39.2,33.0,13.64,6.24
327,42.6,18.34,10.2,2.96,1.28
585,42.0,27.3,21.4,7.8,3.62
94,42.0,18.9,11.3,3.08,1.42
238,41.8,51.8,40.7,15.16,6.7
446,41.8,44.24,28.9,11.88,5.5
107,41.4,46.76,42.0,17.12,8.92
335,41.2,44.52,38.1,14.8,7.72
643,41.2,25.34,16.9,7.24,3.64
89,41.0,33.46,23.0,10.44,4.64
317,40.2,21.84,17.2,5.56,2.12
394,39.2,48.02,47.9,17.8,8.32
100,39.0,44.1,27.7,8.84,3.92
82,38.4,14.42,9.9,2.4,1.14
305,37.2,25.9,15.9,5.6,2.52
362,36.8,11.76,5.7,2.2,0.64
693,36.2,19.04,15.5,5.56,2.32
729,35.8,28.42,15.3,6.92,2.74
665,35.6,25.9,19.9,7.16,3.68
580,35.4,38.22,28.3,9.52,5.14
84,35.2,33.04,30.5,12.6,6.12
45,33.8,24.5,13.8,4.44,2.08
547,33.6,20.02,17.3,6.8,2.58
290,33.6,29.26,15.8,5.32,1.62
34,33.6,19.04,12.0,4.84,1.78
166,33.2,36.54,24.3,9.28,4.08
616,33.0,32.2,22.0,9.56,4.74
299,32.0,25.34,16.1,6.36,2.56
121,31.2,32.48,17.5,6.88,2.98
343,30.4,28.98,20.8,9.32,4.78
230,30.0,30.52,23.5,8.84,5.26
112,30.0,51.24,34.3,12.84,5.24
274,30.0,10.5,6.3,2.6,1.0
511,28.6,17.92,14.6,5.28,2.78
425,28.6,27.58,20.6,8.76,4.16
157,28.4,19.04,8.6,2.8,1.06
104,27.8,35.14,25.5,10.56,5.32
663,27.6,23.52,19.2,7.6,3.42
9,25.8,18.48,12.0,4.76,2.6
146,25.0,37.8,30.1,9.76,3.58
190,23.8,38.22,38.7,15.84,8.56
385,23.6,22.68,17.6,7.68,3.92
625,23.4,27.3,18.5,7.96,3.86
308,22.8,38.08,30.9,12.64,5.54
240,22.6,34.72,33.9,13.56,7.54
650,22.6,22.82,21.1,9.52,4.84
306,22.2,19.18,11.7,5.24,2.44
551,21.6,20.44,15.8,6.0,2.36
150,21.6,21.84,14.7,6.56,3.06
648,21.2,20.16,14.0,4.56,2.6
16,21.2,27.16,26.2,10.48,5.9
433,21.0,25.2,26.0,11.76,6.12
194,21.0,29.26,24.3,9.24,3.3
657,21.0,17.92,17.5,7.44,3.92
615,20.6,8.82,5.2,1.64,0.74
634,20.2,17.08,16.7,6.04,3.18
349,20.0,16.1,11.5,3.2,1.8
623,19.2,12.04,18.1,6.96,2.86
723,18.8,13.72,9.0,3.4,1.78
522,18.6,9.8,5.0,1.48,0.72
379,18.4,18.48,15.6,5.92,2.56
746,18.2,19.46,17.2,7.28,4.2
633,17.6,12.6,11.1,4.48,2.88
326,17.2,19.46,18.9,6.8,3.82
636,17.0,23.8,19.4,8.24,4.48
181,16.8,14.28,11.5,3.84,1.64
371,16.6,19.32,13.0,4.84,2.16
489,16.4,10.64,7.2,2.4,1.04
459,16.4,30.38,17.2,7.12,3.22
21,16.2,15.4,15.2,5.84,2.7
244,16.2,14.56,18.9,6.72,4.1
183,16.2,22.12,15.0,6.72,3.16
409,16.0,17.08,15.8,6.44,3.56
714,16.0,5.04,2.1,0.8,0.44
705,15.6,5.74,2.7,0.68,0.32
655,15.6,14.0,12.3,5.28,2.68
329,15.0,11.9,8.0,3.08,1.24
468,15.0,22.68,22.3,9.2,4.68
252,14.8,4.9,2.2,0.8,0.32
359,14.8,12.88,7.0,2.64,1.24
637,14.8,22.54,16.2,6.36,2.88
284,14.8,14.84,10.7,4.24,1.72
258,14.8,5.88,4.2,1.36,0.72
761,14.8,11.34,7.1,2.36,0.98
500,14.8,33.32,20.0,7.72,3.5
667,14.6,33.32,34.8,18.84,10.94
109,14.6,19.04,21.7,8.68,4.56
641,13.8,15.4,13.5,5.56,2.8
491,13.0,12.46,8.4,3.16,1.4
594,12.8,10.92,4.5,1.6,0.72
152,12.6,9.52,6.5,2.92,2.06
90,12.4,12.04,11.8,4.04,2.3
189,12.4,14.7,7.9,3.72,2.1
421,12.2,17.64,11.4,5.08,3.18
3,12.2,8.4,4.9,2.2,1.32
563,12.2,32.76,30.1,9.28,4.16
43,12.2,23.8,21.2,10.88,5.2
672,12.2,6.86,4.4,1.28,0.48
731,12.0,7.28,6.4,3.2,1.08
455,12.0,11.76,11.0,4.48,2.1
478,11.8,28.56,27.5,13.96,7.44
465,11.8,14.7,17.3,6.92,3.76
288,11.6,14.0,12.2,6.04,3.26
689,11.6,7.7,9.8,4.16,1.82
388,11.6,1.12,0.5,0.12,0.02
398,11.2,4.9,2.3,0.88,0.38
96,11.2,9.52,6.0,2.68,1.52
484,11.2,11.62,9.2,2.68,1.52
369,11.0,13.72,7.9,5.0,2.02
538,11.0,7.28,4.1,1.32,0.68
29,11.0,9.94,8.1,3.92,2.04
765,11.0,18.06,16.0,6.12,3.64
750,11.0,7.28,3.5,1.32,0.46
516,10.8,14.28,12.2,6.16,2.62
758,10.6,22.4,19.6,9.04,5.2
302,10.0,10.5,10.0,4.92,2.5
503,10.0,17.92,12.3,5.28,2.52
377,9.8,6.72,3.8,2.12,0.82
118,9.6,10.5,9.3,4.28,2.26
727,9.4,18.48,19.1,7.96,3.94
380,9.4,0.28,0.5,0.16,0.08
486,9.2,9.8,6.2,3.0,1.68
487,9.0,41.58,38.0,16.12,8.26
760,8.6,21.42,25.5,12.2,6.04
638,8.6,7.7,9.6,4.16,2.16
364,8.4,25.62,16.3,5.12,2.0
139,8.4,20.3,15.2,6.72,3.22
456,8.4,5.74,6.1,3.0,1.7
210,8.4,12.04,12.3,5.96,3.04
658,8.4,8.54,8.3,3.36,2.24
575,8.4,8.68,8.6,3.36,1.7
407,8.2,13.3,15.9,8.24,3.82
445,8.2,16.52,18.7,8.52,4.98
