,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
794,3040.8,501.69,190.2,52.72,21.48,3806.89
608,368.9,205.03,63.0,21.68,9.77,668.3799999999999
838,350.5,218.26,95.5,25.92,11.86,702.04
111,349.6,167.65,73.8,25.4,12.17,628.6199999999999
141,319.1,196.21,135.3,44.94,18.32,713.8700000000002
513,241.4,156.03,91.35,28.08,12.22,529.08
668,221.4,251.44,203.0,87.42,45.96,809.22
62,184.5,408.52,358.1,133.88,56.92,1141.92
618,155.4,115.22,79.85,29.42,14.34,394.23
851,152.8,83.93,43.5,15.64,6.87,302.74
150,144.4,91.77,46.05,14.22,5.99,302.43000000000006
623,140.3,169.05,123.9,49.08,24.61,506.94
95,132.0,68.39,46.45,16.2,7.07,270.10999999999996
193,126.5,130.48,85.95,36.62,15.94,395.49
291,124.4,81.97,47.55,16.94,6.68,277.54
620,124.0,74.27,50.4,18.04,8.34,275.04999999999995
709,123.8,79.87,54.3,19.36,9.87,287.20000000000005
167,117.4,80.22,57.4,23.02,10.91,288.95000000000005
1080,104.8,87.43,51.5,16.86,8.12,268.71000000000004
363,103.9,53.27,26.15,7.9,3.11,194.33000000000004
351,97.1,58.03,29.15,9.22,3.9,197.4
60,90.8,88.76,53.4,20.56,10.26,263.78000000000003
505,86.1,34.93,23.7,7.86,3.96,156.55
821,82.4,48.86,31.8,10.68,5.32,179.06
1044,80.4,46.34,29.6,11.02,5.07,172.43
956,76.7,64.47,43.0,15.12,7.3,206.59000000000003
563,74.4,36.68,20.0,7.44,3.67,142.19
624,73.8,31.15,16.05,5.28,2.36,128.64
208,71.7,49.98,36.15,14.08,6.72,178.63000000000002
87,69.7,43.05,30.55,10.9,5.55,159.75000000000003
586,66.9,36.75,19.55,7.42,3.59,134.21
388,64.5,47.74,32.9,13.44,6.09,164.67000000000002
622,63.2,65.17,47.5,18.76,9.76,204.39
775,62.6,103.32,61.7,23.94,9.13,260.69
109,61.4,22.4,12.7,3.92,1.98,102.4
1009,60.4,83.44,76.3,34.88,19.79,274.81
1022,56.3,44.24,29.2,11.02,6.39,147.14999999999998
426,55.5,55.51,34.75,13.32,6.51,165.58999999999997
735,49.9,24.01,12.4,5.0,2.27,93.58
79,48.8,59.15,58.25,26.46,14.67,207.32999999999998
277,48.8,36.05,29.85,11.54,5.81,132.04999999999998
237,47.7,42.49,35.4,14.52,7.84,147.95000000000002
520,47.2,76.16,52.05,19.88,10.97,206.26
25,46.9,36.05,26.75,10.2,4.71,124.60999999999999
456,45.7,53.76,29.0,9.38,3.9,141.74
152,45.3,35.63,21.35,9.14,3.74,115.16
585,44.1,23.66,13.95,5.72,2.5,89.93
415,43.3,40.39,23.95,7.78,3.67,119.09
1,40.7,31.08,17.25,5.98,2.86,97.87
928,40.7,69.79,59.85,24.18,12.95,207.47
973,40.0,25.27,14.05,4.88,2.61,86.80999999999999
64,38.6,205.1,153.15,66.84,35.5,499.19000000000005
703,38.4,38.78,31.3,13.54,6.81,128.83
230,37.1,54.88,41.8,19.52,11.64,164.94
49,36.9,21.0,11.05,3.58,1.72,74.25
815,36.7,67.41,56.8,22.66,11.18,194.75
48,35.5,57.12,35.65,13.84,6.18,148.29000000000002
100,35.1,28.14,19.5,8.04,3.1,93.88
253,32.8,22.68,16.95,5.92,3.53,81.88
1051,32.0,21.07,17.8,7.6,4.11,82.58
444,32.0,24.15,9.95,3.88,1.43,71.41
356,31.5,34.79,28.55,11.7,5.81,112.35
759,31.2,37.38,28.3,10.58,5.49,112.94999999999999
765,31.0,11.06,5.15,1.46,0.85,49.52
1046,30.7,48.02,29.25,11.3,5.56,124.83
176,29.5,15.68,11.1,3.44,1.48,61.199999999999996
921,28.1,29.26,26.7,9.22,3.95,97.23
149,27.9,12.67,6.45,2.32,1.07,50.410000000000004
144,27.5,29.12,25.25,10.98,5.49,98.34
377,26.4,78.82,50.2,19.12,9.66,184.20000000000002
41,25.8,48.23,39.0,16.88,9.97,139.88
321,24.4,11.2,7.75,2.66,1.3,47.30999999999999
484,23.9,26.11,16.85,6.12,3.1,76.08
726,23.8,13.44,6.75,2.34,1.03,47.36
689,23.1,11.69,9.05,2.18,1.24,47.260000000000005
635,23.0,15.12,8.1,2.9,1.4,50.519999999999996
897,21.9,15.75,12.95,4.96,2.69,58.24999999999999
810,21.6,11.69,6.3,2.16,1.05,42.8
756,21.2,22.19,20.7,8.52,4.75,77.36
782,19.4,15.05,6.75,1.78,0.8,43.78
697,19.1,30.73,33.05,18.08,10.42,111.38
576,17.2,14.28,7.6,2.52,1.3,42.9
449,16.9,23.8,20.6,7.68,4.26,73.24000000000001
805,16.5,17.36,14.4,6.9,4.34,59.5
812,16.2,20.09,15.6,5.76,3.24,60.89
932,15.5,13.3,6.15,2.54,0.97,38.46
416,15.4,10.71,5.6,2.04,1.04,34.79
1032,14.2,10.43,6.65,2.86,1.45,35.59
854,13.7,26.32,29.05,16.06,9.65,94.78
1002,13.7,15.68,14.6,6.48,4.36,54.81999999999999
983,13.5,3.64,2.35,0.86,0.26,20.610000000000003
822,13.2,17.22,12.25,5.92,3.2,51.790000000000006
995,12.7,12.67,11.0,5.12,2.94,44.42999999999999
685,12.7,18.55,11.3,4.82,2.4,49.769999999999996
201,12.6,20.16,17.2,6.88,3.09,59.92999999999999
1040,12.2,18.69,20.6,9.12,5.0,65.61
423,12.1,11.9,9.9,4.68,2.11,40.69
954,11.0,17.36,18.25,10.1,6.15,62.86
999,10.7,4.34,2.7,0.84,0.54,19.119999999999997
92,10.6,6.23,5.25,2.14,1.19,25.41
318,10.6,28.63,32.0,17.08,9.38,97.68999999999998
552,10.3,10.92,9.9,4.98,2.16,38.25999999999999
799,9.9,8.47,6.2,2.68,1.4,28.65
459,9.8,22.96,31.05,15.88,9.45,89.14
457,9.7,19.67,12.75,4.12,2.09,48.33
123,9.3,14.7,13.85,6.72,3.76,48.33
430,9.1,18.41,20.7,11.1,7.46,66.77
612,8.9,15.89,12.1,6.46,3.58,46.93
555,8.2,12.39,9.65,4.52,2.11,36.870000000000005
836,8.0,12.53,14.6,8.3,4.71,48.14000000000001
10,7.8,10.71,13.65,7.08,4.27,43.510000000000005
130,7.7,6.09,4.1,1.42,0.68,19.990000000000002
372,6.9,2.66,1.45,0.4,0.22,11.63
139,6.9,8.05,6.9,2.86,1.63,26.34
90,6.9,24.29,32.55,17.8,10.24,91.77999999999999
1075,6.2,10.57,9.6,3.84,1.81,32.019999999999996
678,6.0,4.83,3.75,1.62,0.76,16.96
614,5.7,7.98,3.5,0.94,0.36,18.48
283,5.7,4.27,1.45,0.44,0.17,12.029999999999998
923,5.1,5.53,6.25,3.66,1.72,22.259999999999998
718,5.1,3.64,2.25,1.14,0.47,12.600000000000001
327,4.7,25.76,25.15,10.84,5.57,72.02000000000001
437,4.7,1.96,0.95,0.36,0.13,8.100000000000001
575,4.7,3.85,5.25,2.22,1.74,17.759999999999998
421,4.7,4.27,2.45,0.92,0.5,12.839999999999998
993,4.6,2.24,1.5,0.42,0.19,8.95
717,4.6,8.47,11.5,5.98,3.48,34.03
541,4.6,2.38,2.05,0.9,0.32,10.25
893,4.4,2.94,2.3,1.08,0.33,11.05
94,4.3,5.95,6.6,3.62,1.88,22.35
734,4.2,7.28,6.2,1.92,1.14,20.740000000000002
1004,4.2,4.34,5.1,2.48,1.56,17.679999999999996
529,4.2,6.65,4.6,2.26,1.29,19.0
1019,4.1,6.65,4.55,1.76,0.76,17.820000000000004
829,4.0,4.62,2.85,1.54,0.8,13.810000000000002
12,4.0,6.86,4.45,1.64,0.69,17.64
740,4.0,5.53,5.85,3.48,2.01,20.869999999999997
716,3.5,3.99,4.1,1.22,0.66,13.47
300,3.5,6.58,10.2,5.52,3.71,29.51
828,3.4,2.8,1.6,0.66,0.42,8.879999999999999
950,3.4,3.85,2.8,1.12,0.79,11.96
538,3.4,2.45,1.65,0.4,0.19,8.09
719,3.4,3.57,4.0,1.7,0.88,13.549999999999999
21,3.3,5.46,8.35,4.4,2.66,24.169999999999998
769,3.2,6.16,4.15,1.5,0.65,15.66
643,3.1,2.1,1.6,0.62,0.36,7.780000000000001
453,3.0,3.57,3.15,1.3,0.87,11.89
346,2.9,9.03,11.8,3.92,1.96,29.61
700,2.9,1.33,0.7,0.16,0.09,5.180000000000001
556,2.8,2.31,1.5,0.58,0.25,7.4399999999999995
656,2.8,4.9,7.6,3.4,2.4,21.099999999999998
168,2.6,3.15,2.5,1.26,0.63,10.14
80,2.4,4.9,3.15,1.08,0.54,12.07
777,2.3,3.92,4.65,2.48,1.43,14.780000000000001
341,2.3,2.59,3.2,1.64,0.76,10.49
646,2.2,2.24,1.65,0.94,0.46,7.489999999999999
340,2.2,1.68,1.95,1.06,0.57,7.460000000000001
1034,2.2,4.2,3.0,0.86,0.42,10.68
863,2.1,1.89,2.1,0.66,0.37,7.12
424,2.0,5.95,5.7,2.62,1.37,17.64
693,2.0,12.18,13.75,7.36,4.88,40.17
704,1.9,5.39,5.95,2.58,1.4,17.22
1059,1.8,3.5,2.6,1.44,0.51,9.85
770,1.8,3.22,2.3,0.92,0.46,8.700000000000001
912,1.8,3.5,2.95,1.0,0.35,9.6
354,1.7,1.61,1.4,0.38,0.26,5.35
23,1.7,1.82,2.3,0.76,0.6,7.18
1050,1.7,1.33,0.8,0.34,0.18,4.35
477,1.7,3.71,3.25,1.22,0.72,10.600000000000001
989,1.6,1.89,1.0,0.4,0.24,5.130000000000001
547,1.6,3.92,4.75,3.2,1.93,15.399999999999999
438,1.5,3.22,3.3,1.66,0.97,10.65
569,1.5,3.43,5.2,2.86,1.8,14.79
723,1.5,1.12,0.5,0.4,0.27,3.79
650,1.4,1.54,2.15,1.08,0.61,6.78
306,1.3,1.47,1.85,0.58,0.48,5.68
397,1.3,1.4,1.6,1.02,0.43,5.75
767,1.3,0.42,0.35,0.18,0.04,2.29
657,1.3,0.91,0.4,0.08,0.07,2.76
786,1.2,1.33,1.6,0.82,0.5,5.450000000000001
420,1.2,0.91,1.0,0.5,0.13,3.7399999999999998
284,1.1,0.91,0.45,0.18,0.11,2.7500000000000004
567,1.1,1.96,4.3,2.02,1.19,10.569999999999999
1056,1.1,2.87,3.1,1.06,0.57,8.700000000000001
335,1.1,1.19,1.1,0.44,0.22,4.05
1052,1.1,1.47,2.2,1.2,0.69,6.66
707,1.1,6.51,6.9,3.34,2.19,20.040000000000003
1025,1.1,0.7,1.15,0.32,0.35,3.62
242,1.0,1.47,2.15,0.9,0.54,6.06
522,1.0,2.1,2.8,1.38,0.8,8.08
843,0.9,0.7,0.25,0.04,0.04,1.9300000000000002
528,0.9,1.05,0.8,0.5,0.34,3.59
398,0.9,0.7,0.55,0.22,0.1,2.4700000000000006
702,0.9,1.75,1.05,0.5,0.38,4.58
65,0.9,0.91,0.75,0.16,0.08,2.8000000000000003
246,0.9,0.91,1.0,0.52,0.21,3.54
68,0.9,0.7,1.6,0.8,0.37,4.37
256,0.9,0.84,0.55,0.42,0.18,2.89
329,0.9,1.12,1.3,0.7,0.4,4.420000000000001
175,0.8,1.68,3.0,2.08,1.26,8.82
801,0.7,1.89,1.5,0.84,0.46,5.39
13,0.7,1.05,1.25,0.56,0.44,4.0
798,0.6,0.28,0.1,0.02,0.03,1.03
600,0.6,0.7,0.75,0.42,0.14,2.61
630,0.5,0.63,0.3,0.24,0.11,1.78
649,0.5,0.63,0.85,0.38,0.3,2.6599999999999997
1010,0.5,0.07,0.2,0.02,0.03,0.8200000000000001
994,0.5,2.31,2.2,0.78,0.36,6.15
396,0.5,0.21,0.15,0.24,0.07,1.1700000000000002
414,0.5,,0.1,,,0.6
1035,0.4,0.07,0.4,0.34,0.22,1.4300000000000002
304,0.4,0.07,,,,0.47000000000000003
315,0.4,0.07,0.35,0.02,,0.8400000000000001
889,0.4,0.21,0.3,0.26,0.2,1.3699999999999999
29,0.4,0.49,0.8,0.26,0.15,2.1
270,0.3,1.4,1.05,0.58,0.19,3.52
1076,0.3,0.35,0.9,0.68,0.25,2.48
584,0.3,0.7,0.3,0.02,0.07,1.3900000000000001
159,0.3,1.4,3.25,3.5,2.66,11.11
448,0.3,0.35,0.6,0.34,0.32,1.9100000000000001
112,0.3,0.49,1.05,0.96,0.75,3.55
467,0.3,2.38,1.75,1.14,0.51,6.079999999999999
292,0.2,,,,,0.2
86,0.2,0.14,0.25,0.08,0.07,0.74
1027,0.2,0.42,0.35,0.08,0.06,1.11
1045,0.2,0.56,0.55,0.36,0.34,2.01
151,0.2,,,,0.01,0.21000000000000002
715,0.2,3.15,4.5,2.38,1.76,11.99
266,0.2,1.54,2.25,1.36,0.79,6.140000000000001
998,0.2,0.14,0.05,,,0.39
852,0.2,0.07,0.05,,0.01,0.33
571,0.2,0.28,0.7,0.26,0.04,1.48
116,0.2,0.07,0.2,0.16,0.08,0.71
1074,0.2,0.84,0.6,0.5,0.29,2.43
880,0.2,0.49,0.55,0.5,0.27,2.01
562,0.2,1.26,0.6,0.2,0.25,2.5100000000000002
274,0.1,,0.15,0.02,0.01,0.28
498,0.1,,,,,0.1
249,0.1,0.21,0.15,0.04,0.04,0.5399999999999999
37,0.1,0.14,0.1,0.18,0.05,0.5700000000000001
471,0.1,0.07,0.1,0.06,0.04,0.37
911,0.1,0.07,,0.02,,0.19
661,0.1,,0.05,0.14,0.12,0.41000000000000003
436,0.1,0.49,1.15,0.76,0.96,3.46
43,0.1,0.98,1.2,1.22,1.44,4.9399999999999995
595,0.1,,0.2,0.18,0.04,0.52
447,0.1,0.07,0.25,0.42,0.31,1.1500000000000001
82,0.1,0.84,0.55,0.34,0.19,2.02
862,0.1,0.14,0.2,0.06,0.03,0.53
301,0.1,0.56,0.55,0.3,0.19,1.7
961,0.1,,,,,0.1
178,0.1,,,,,0.1
589,0.1,0.07,0.2,0.1,0.08,0.5499999999999999
157,0.1,,0.25,0.02,0.04,0.41
2,,,,,0.01,0.01
6,,,0.15,0.26,0.41,0.8200000000000001
24,,0.49,0.75,0.5,0.28,2.02
28,,,,0.06,0.13,0.19
31,,,0.35,0.3,0.25,0.8999999999999999
33,,,,0.04,0.04,0.08
38,,,,0.14,0.15,0.29000000000000004
51,,0.49,0.2,0.06,0.03,0.78
52,,,,,0.07,0.07
69,,,0.05,0.06,0.02,0.13
72,,,,,0.03,0.03
78,,0.28,0.05,0.18,0.17,0.68
91,,,0.05,0.08,0.13,0.26
99,,0.84,1.5,1.64,1.52,5.5
103,,0.07,0.05,0.02,,0.14
110,,,,0.04,0.02,0.06
129,,,,,0.11,0.11
133,,,0.6,0.6,0.82,2.02
134,,,,,0.01,0.01
147,,,,,0.01,0.01
158,,,,0.24,0.3,0.54
186,,,0.05,,0.04,0.09
195,,,0.05,,0.04,0.09
212,,,,0.02,,0.02
213,,6.86,13.75,6.78,3.92,31.310000000000002
219,,0.14,0.35,0.26,0.21,0.96
221,,0.21,0.35,0.42,0.48,1.46
225,,,,,0.12,0.12
235,,129.15,291.8,143.24,66.94,631.1300000000001
254,,0.28,0.5,0.54,0.46,1.78
260,,0.07,0.05,0.06,0.01,0.19
269,,,0.15,0.04,0.03,0.22
273,,,,,0.02,0.02
280,,,0.1,0.04,0.03,0.17
289,,,,0.04,0.01,0.05
298,,,,0.02,,0.02
313,,,0.15,0.14,0.21,0.5
317,,,,,0.01,0.01
332,,,0.05,0.04,0.07,0.16
