,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
794,19673.0,4382.0,2248.0,1482.0,1170.0
838,2016.0,1901.0,1187.0,859.0,676.0
608,1835.0,1693.0,746.0,616.0,551.0
668,1212.0,1853.0,1939.0,1989.0,2196.0
141,1043.0,862.0,970.0,805.0,654.0
513,978.0,901.0,702.0,549.0,464.0
618,978.0,987.0,936.0,884.0,867.0
111,963.0,808.0,541.0,470.0,396.0
623,923.0,1613.0,1711.0,1675.0,1632.0
150,892.0,967.0,660.0,550.0,446.0
363,883.0,673.0,438.0,303.0,304.0
620,878.0,747.0,720.0,629.0,523.0
62,652.0,2341.0,3173.0,3200.0,2855.0
1080,643.0,916.0,711.0,586.0,541.0
291,593.0,599.0,509.0,446.0,381.0
426,516.0,767.0,635.0,624.0,615.0
505,492.0,228.0,203.0,227.0,205.0
851,482.0,423.0,343.0,270.0,241.0
388,459.0,553.0,579.0,542.0,496.0
1044,370.0,373.0,327.0,267.0,234.0
167,369.0,347.0,342.0,312.0,320.0
351,339.0,352.0,239.0,194.0,167.0
456,325.0,532.0,420.0,351.0,294.0
520,314.0,889.0,798.0,748.0,771.0
815,308.0,912.0,1075.0,1073.0,1055.0
1022,306.0,349.0,313.0,347.0,324.0
193,286.0,513.0,555.0,587.0,503.0
1,275.0,273.0,221.0,178.0,167.0
277,273.0,284.0,322.0,310.0,345.0
230,269.0,544.0,580.0,558.0,603.0
377,258.0,1094.0,961.0,919.0,908.0
821,257.0,234.0,176.0,169.0,139.0
709,251.0,275.0,254.0,254.0,228.0
415,235.0,313.0,282.0,247.0,205.0
95,229.0,252.0,220.0,185.0,199.0
144,226.0,390.0,499.0,509.0,516.0
87,222.0,201.0,222.0,221.0,182.0
563,215.0,129.0,129.0,117.0,100.0
775,214.0,612.0,548.0,482.0,378.0
60,213.0,350.0,297.0,302.0,323.0
208,210.0,206.0,209.0,210.0,223.0
48,198.0,494.0,462.0,431.0,439.0
444,192.0,236.0,161.0,109.0,111.0
735,185.0,151.0,122.0,118.0,98.0
64,175.0,1876.0,2127.0,2168.0,2170.0
1046,174.0,453.0,439.0,393.0,333.0
703,174.0,312.0,375.0,376.0,401.0
956,172.0,201.0,208.0,190.0,178.0
318,171.0,549.0,821.0,986.0,1038.0
109,164.0,93.0,59.0,63.0,63.0
624,160.0,114.0,77.0,80.0,71.0
484,152.0,282.0,280.0,235.0,233.0
1009,149.0,316.0,513.0,557.0,674.0
79,142.0,289.0,400.0,466.0,492.0
586,141.0,112.0,114.0,88.0,88.0
585,141.0,125.0,90.0,91.0,101.0
1051,141.0,159.0,150.0,178.0,183.0
149,134.0,123.0,72.0,68.0,62.0
201,131.0,250.0,252.0,249.0,260.0
552,130.0,187.0,191.0,206.0,214.0
782,126.0,173.0,93.0,71.0,73.0
41,124.0,423.0,421.0,481.0,623.0
321,122.0,92.0,106.0,74.0,81.0
622,120.0,182.0,187.0,249.0,273.0
237,117.0,130.0,196.0,187.0,213.0
152,112.0,105.0,102.0,107.0,92.0
176,106.0,71.0,83.0,70.0,49.0
25,106.0,179.0,174.0,160.0,156.0
812,102.0,153.0,165.0,166.0,182.0
