,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
544,5029.0,2454.0,1654.0,1174.0,883.0
1014,5022.0,3298.0,2108.0,1546.0,1096.0
807,4846.0,2890.0,1970.0,1471.0,1135.0
986,4814.0,1708.0,962.0,662.0,435.0
68,4500.0,2027.0,1322.0,950.0,751.0
50,4155.0,2764.0,2188.0,1745.0,1465.0
866,4110.0,3071.0,2147.0,1748.0,1417.0
605,3973.0,3433.0,2164.0,1374.0,943.0
652,3898.0,2948.0,2047.0,1539.0,1212.0
898,3889.0,2485.0,1839.0,1217.0,791.0
55,3798.0,3586.0,2662.0,2236.0,1876.0
525,3685.0,2658.0,1948.0,1513.0,1264.0
711,3667.0,2819.0,2234.0,1883.0,1612.0
892,3622.0,1695.0,647.0,278.0,130.0
35,3621.0,2143.0,1492.0,1072.0,843.0
855,3527.0,1966.0,1223.0,827.0,536.0
906,3334.0,3540.0,3269.0,2932.0,2685.0
227,3243.0,3115.0,2453.0,1934.0,1557.0
366,3110.0,1489.0,1050.0,698.0,560.0
667,3100.0,1800.0,1403.0,1231.0,1097.0
413,3043.0,1409.0,833.0,563.0,407.0
96,3027.0,3527.0,2328.0,1413.0,801.0
556,2988.0,1283.0,873.0,613.0,461.0
871,2929.0,1545.0,1101.0,903.0,755.0
948,2915.0,2533.0,1560.0,1169.0,936.0
532,2886.0,3038.0,2867.0,2577.0,2386.0
626,2878.0,1637.0,1350.0,981.0,952.0
618,2845.0,1222.0,799.0,573.0,404.0
935,2793.0,558.0,272.0,158.0,157.0
457,2782.0,1203.0,810.0,508.0,375.0
32,2758.0,1358.0,1085.0,935.0,748.0
776,2741.0,1153.0,597.0,381.0,255.0
344,2670.0,1874.0,1541.0,1293.0,1174.0
645,2641.0,2129.0,1927.0,1656.0,1510.0
234,2636.0,2026.0,1782.0,1483.0,1256.0
343,2625.0,2242.0,2522.0,2354.0,2076.0
830,2548.0,1697.0,1270.0,1081.0,870.0
480,2536.0,2783.0,2358.0,1794.0,1266.0
199,2497.0,1951.0,1458.0,1104.0,919.0
761,2469.0,1413.0,788.0,534.0,389.0
39,2459.0,1475.0,1104.0,941.0,860.0
1057,2451.0,2863.0,2456.0,2073.0,1638.0
541,2443.0,1322.0,1039.0,729.0,611.0
632,2431.0,1373.0,1219.0,1018.0,877.0
873,2395.0,2571.0,2601.0,2419.0,2248.0
922,2379.0,1257.0,859.0,680.0,549.0
833,2366.0,1139.0,803.0,620.0,530.0
80,2357.0,1690.0,1368.0,1257.0,1082.0
18,2350.0,1923.0,1570.0,1413.0,1340.0
827,2311.0,1846.0,1591.0,1498.0,1324.0
1046,2305.0,1909.0,1825.0,1598.0,1575.0
381,2304.0,1405.0,1059.0,732.0,619.0
811,2276.0,1585.0,1339.0,1167.0,1107.0
29,2275.0,1559.0,1266.0,1099.0,1013.0
1091,2252.0,3582.0,4406.0,4314.0,3949.0
270,2251.0,1524.0,1326.0,1038.0,934.0
988,2216.0,1432.0,1084.0,1051.0,923.0
351,2181.0,1304.0,1018.0,784.0,691.0
113,2175.0,2307.0,2365.0,2355.0,2101.0
515,2165.0,1550.0,1293.0,1077.0,981.0
867,2152.0,604.0,255.0,155.0,95.0
479,2150.0,1433.0,1209.0,1079.0,925.0
1061,2149.0,1723.0,1501.0,1322.0,1140.0
130,2143.0,1282.0,977.0,916.0,714.0
76,2142.0,1742.0,1573.0,1547.0,1416.0
