,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
794,26069.0,4261.0,1908.0,1213.0,896.0
608,2430.0,3523.0,1285.0,977.0,825.0
668,1503.0,3335.0,3581.0,3615.0,3763.0
141,1248.0,1327.0,1311.0,1238.0,1061.0
851,1137.0,1196.0,831.0,590.0,634.0
620,1122.0,1836.0,1286.0,954.0,808.0
709,946.0,1011.0,895.0,880.0,812.0
513,917.0,1094.0,821.0,758.0,595.0
167,877.0,1012.0,965.0,941.0,871.0
150,861.0,1505.0,1045.0,671.0,569.0
95,705.0,714.0,683.0,541.0,517.0
87,649.0,573.0,555.0,529.0,486.0
821,498.0,493.0,444.0,405.0,377.0
109,455.0,291.0,214.0,200.0,149.0
1044,453.0,558.0,497.0,438.0,414.0
563,440.0,383.0,297.0,281.0,243.0
363,438.0,587.0,330.0,250.0,228.0
505,415.0,278.0,274.0,259.0,251.0
623,397.0,1579.0,1738.0,1770.0,1743.0
624,377.0,273.0,213.0,191.0,192.0
765,374.0,314.0,161.0,125.0,131.0
726,363.0,283.0,219.0,159.0,168.0
111,356.0,540.0,338.0,388.0,398.0
25,345.0,584.0,515.0,454.0,440.0
62,338.0,3843.0,4743.0,4018.0,3418.0
237,323.0,434.0,510.0,557.0,583.0
928,300.0,785.0,1047.0,1176.0,1248.0
973,290.0,235.0,226.0,196.0,205.0
585,267.0,255.0,250.0,218.0,195.0
1,260.0,382.0,302.0,254.0,236.0
291,251.0,474.0,478.0,363.0,402.0
152,237.0,281.0,284.0,264.0,241.0
838,195.0,477.0,422.0,345.0,284.0
208,169.0,224.0,200.0,242.0,233.0
576,166.0,153.0,119.0,101.0,93.0
456,160.0,407.0,518.0,432.0,353.0
586,148.0,181.0,147.0,137.0,114.0
351,139.0,309.0,177.0,146.0,132.0
426,137.0,515.0,430.0,436.0,426.0
697,125.0,234.0,406.0,541.0,739.0
149,119.0,150.0,102.0,71.0,71.0
775,117.0,491.0,597.0,507.0,434.0
356,109.0,192.0,245.0,244.0,270.0
759,107.0,192.0,229.0,239.0,296.0
193,101.0,299.0,376.0,486.0,462.0
60,93.0,160.0,155.0,203.0,188.0
735,89.0,112.0,87.0,75.0,67.0
79,86.0,290.0,416.0,553.0,690.0
321,85.0,105.0,80.0,86.0,87.0
810,84.0,141.0,84.0,97.0,78.0
614,84.0,133.0,105.0,61.0,60.0
253,83.0,120.0,130.0,100.0,141.0
1051,79.0,114.0,142.0,170.0,201.0
388,75.0,281.0,305.0,335.0,317.0
377,73.0,1134.0,998.0,844.0,929.0
854,68.0,187.0,400.0,538.0,625.0
520,68.0,554.0,490.0,567.0,634.0
703,65.0,212.0,251.0,311.0,340.0
416,61.0,91.0,80.0,62.0,57.0
90,60.0,238.0,454.0,616.0,843.0
230,57.0,355.0,333.0,435.0,508.0
829,55.0,122.0,134.0,112.0,85.0
956,54.0,77.0,99.0,103.0,123.0
415,51.0,97.0,132.0,149.0,100.0
635,51.0,58.0,60.0,44.0,38.0
92,47.0,63.0,53.0,73.0,78.0
782,47.0,171.0,70.0,68.0,50.0
277,47.0,92.0,118.0,119.0,151.0
1080,41.0,107.0,119.0,90.0,97.0
10,40.0,107.0,215.0,290.0,311.0
1019,37.0,112.0,124.0,113.0,111.0
176,37.0,47.0,39.0,36.0,40.0
756,36.0,91.0,132.0,162.0,222.0
1009,35.0,203.0,362.0,537.0,747.0
1002,32.0,65.0,89.0,119.0,182.0
932,31.0,46.0,38.0,40.0,45.0
1075,31.0,281.0,306.0,318.0,309.0
1004,30.0,80.0,114.0,130.0,163.0
689,30.0,25.0,18.0,26.0,21.0
144,29.0,123.0,192.0,197.0,226.0
49,28.0,48.0,38.0,24.0,37.0
444,27.0,94.0,70.0,44.0,52.0
201,24.0,71.0,109.0,108.0,105.0
718,23.0,26.0,21.0,20.0,23.0
130,23.0,79.0,59.0,66.0,54.0
139,23.0,58.0,70.0,84.0,88.0
318,21.0,226.0,399.0,527.0,623.0
1032,20.0,19.0,21.0,27.0,33.0
622,20.0,54.0,67.0,89.0,96.0
552,20.0,40.0,68.0,65.0,97.0
64,19.0,1773.0,1891.0,2321.0,2511.0
100,18.0,52.0,54.0,49.0,51.0
993,18.0,16.0,11.0,14.0,15.0
484,15.0,61.0,106.0,91.0,81.0
48,14.0,182.0,189.0,214.0,232.0
923,13.0,33.0,44.0,67.0,83.0
815,13.0,241.0,413.0,478.0,497.0
1046,13.0,148.0,154.0,166.0,176.0
372,12.0,5.0,5.0,2.0,5.0
836,12.0,47.0,56.0,92.0,118.0
283,11.0,19.0,13.0,4.0,7.0
41,11.0,196.0,222.0,309.0,459.0
897,9.0,18.0,19.0,20.0,25.0
612,9.0,68.0,131.0,168.0,171.0
123,9.0,30.0,62.0,91.0,108.0
921,8.0,32.0,56.0,55.0,62.0
1034,8.0,21.0,26.0,24.0,24.0
799,8.0,10.0,14.0,17.0,15.0
421,7.0,14.0,17.0,11.0,14.0
999,7.0,5.0,7.0,4.0,1.0
1040,7.0,34.0,66.0,98.0,139.0
843,6.0,3.0,5.0,1.0,3.0
822,6.0,40.0,55.0,95.0,113.0
678,5.0,3.0,6.0,6.0,10.0
354,5.0,2.0,7.0,5.0,5.0
555,5.0,23.0,50.0,44.0,64.0
618,5.0,18.0,27.0,42.0,46.0
1022,5.0,15.0,17.0,43.0,48.0
994,4.0,20.0,17.0,21.0,21.0
538,4.0,6.0,5.0,3.0,7.0
643,4.0,6.0,6.0,10.0,15.0
717,4.0,22.0,50.0,98.0,118.0
459,4.0,104.0,210.0,406.0,532.0
547,3.0,8.0,22.0,45.0,70.0
912,3.0,24.0,42.0,28.0,25.0
983,3.0,2.0,5.0,3.0,6.0
893,3.0,3.0,2.0,6.0,3.0
423,3.0,15.0,18.0,36.0,30.0
812,3.0,2.0,2.0,2.0,8.0
1010,2.0,1.0,,,
12,2.0,43.0,38.0,41.0,38.0
1050,2.0,,,,1.0
256,2.0,2.0,,3.0,2.0
159,2.0,11.0,35.0,85.0,167.0
685,2.0,12.0,32.0,27.0,35.0
798,2.0,,1.0,2.0,2.0
453,2.0,6.0,12.0,9.0,15.0
575,2.0,1.0,5.0,7.0,9.0
734,2.0,8.0,17.0,24.0,22.0
716,2.0,1.0,2.0,3.0,9.0
436,2.0,3.0,7.0,22.0,39.0
346,2.0,14.0,24.0,26.0,36.0
449,1.0,5.0,7.0,10.0,14.0
437,1.0,,2.0,7.0,3.0
327,1.0,60.0,182.0,216.0,248.0
430,1.0,31.0,60.0,135.0,208.0
498,1.0,1.0,,,2.0
315,1.0,,,,
1056,1.0,3.0,14.0,17.0,20.0
1059,1.0,3.0,6.0,8.0,13.0
306,1.0,1.0,2.0,4.0,3.0
477,1.0,5.0,10.0,13.0,17.0
805,1.0,12.0,10.0,14.0,28.0
528,1.0,2.0,7.0,3.0,6.0
529,1.0,8.0,17.0,11.0,16.0
863,1.0,,,,
995,1.0,10.0,14.0,17.0,16.0
657,1.0,1.0,,2.0,2.0
94,1.0,2.0,7.0,18.0,19.0
13,1.0,2.0,4.0,5.0,5.0
693,1.0,40.0,73.0,118.0,171.0
954,1.0,6.0,7.0,19.0,28.0
715,1.0,7.0,25.0,52.0,60.0
719,1.0,2.0,2.0,4.0,5.0
767,1.0,1.0,,4.0,1.0
770,1.0,7.0,9.0,14.0,12.0
707,1.0,22.0,37.0,47.0,69.0
6,,5.0,5.0,13.0,30.0
21,,3.0,5.0,15.0,13.0
23,,,,2.0,2.0
24,,1.0,2.0,4.0,5.0
28,,,5.0,5.0,13.0
31,,,1.0,2.0,4.0
38,,,,1.0,2.0
43,,,,1.0,6.0
51,,,1.0,2.0,1.0
52,,,,,1.0
65,,2.0,3.0,3.0,4.0
72,,,,5.0,5.0
80,,13.0,14.0,8.0,6.0
82,,,,,1.0
99,,,,3.0,5.0
112,,,1.0,2.0,1.0
116,,,,2.0,3.0
133,,,,,3.0
