,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
794,14116.0,5532.0,3725.0,2997.0,2509.0
618,13179.0,6122.0,4224.0,3143.0,2486.0
761,13124.0,7495.0,4631.0,3316.0,2600.0
457,7890.0,4176.0,2887.0,2045.0,1611.0
948,5499.0,5105.0,3731.0,2901.0,2336.0
620,4427.0,3364.0,2952.0,2795.0,2673.0
838,4028.0,2918.0,2423.0,1939.0,1857.0
608,3978.0,2090.0,1375.0,1094.0,859.0
1085,3804.0,7301.0,8498.0,8590.0,8606.0
150,3720.0,2995.0,2160.0,1666.0,1452.0
50,3555.0,2514.0,2067.0,1724.0,1460.0
812,3482.0,2539.0,2161.0,2014.0,1847.0
544,3340.0,2278.0,1525.0,1106.0,909.0
1046,3329.0,3336.0,2764.0,2516.0,2212.0
111,3253.0,1855.0,1461.0,1229.0,1151.0
68,3141.0,1899.0,1220.0,893.0,699.0
632,3115.0,1583.0,1208.0,1015.0,806.0
556,2938.0,1198.0,796.0,609.0,436.0
456,2908.0,2718.0,1842.0,1557.0,1359.0
366,2903.0,1101.0,659.0,494.0,338.0
1009,2835.0,3157.0,3344.0,3543.0,3478.0
465,2796.0,387.0,320.0,302.0,292.0
1022,2792.0,2553.0,2450.0,2393.0,2272.0
1080,2768.0,2058.0,1839.0,1538.0,1407.0
351,2731.0,1685.0,1437.0,1208.0,1058.0
866,2641.0,2636.0,1969.0,1588.0,1257.0
48,2635.0,3000.0,2742.0,2481.0,2299.0
230,2634.0,3032.0,2996.0,2954.0,3021.0
130,2613.0,1368.0,1092.0,923.0,757.0
388,2576.0,2384.0,2256.0,2173.0,2114.0
652,2566.0,2582.0,2178.0,1637.0,1322.0
118,2450.0,1340.0,1022.0,851.0,688.0
343,2402.0,2157.0,2416.0,2371.0,2258.0
734,2360.0,2106.0,1930.0,1753.0,1642.0
444,2342.0,1734.0,1133.0,949.0,882.0
668,2332.0,3329.0,3732.0,4107.0,4210.0
822,2303.0,2639.0,2519.0,2406.0,2338.0
575,2298.0,2326.0,2391.0,2312.0,2284.0
377,2277.0,3035.0,2895.0,2893.0,2887.0
426,2272.0,2221.0,2400.0,2300.0,2352.0
55,2272.0,2218.0,1802.0,1653.0,1355.0
555,2210.0,1742.0,1601.0,1462.0,1328.0
541,2204.0,1446.0,1052.0,742.0,567.0
449,2185.0,2022.0,2019.0,1900.0,1876.0
69,2178.0,3719.0,3300.0,2595.0,2175.0
770,2139.0,1495.0,1334.0,1094.0,1038.0
520,2135.0,2588.0,2579.0,2580.0,2582.0
201,2110.0,2256.0,2130.0,2146.0,1983.0
363,2086.0,1222.0,995.0,793.0,771.0
871,2075.0,836.0,608.0,483.0,386.0
1,2075.0,1789.0,1354.0,1204.0,1080.0
25,2067.0,1840.0,1524.0,1364.0,1275.0
340,2049.0,2136.0,1933.0,1799.0,1694.0
595,2033.0,1312.0,1138.0,999.0,918.0
623,2026.0,2971.0,3535.0,3831.0,3971.0
396,2008.0,1186.0,1251.0,1142.0,973.0
795,2007.0,3854.0,3597.0,2888.0,2408.0
685,1992.0,3009.0,2580.0,2241.0,1966.0
528,1974.0,1592.0,1383.0,1313.0,1167.0
562,1974.0,1571.0,1371.0,1243.0,1092.0
694,1912.0,1386.0,1128.0,1123.0,968.0
986,1906.0,818.0,516.0,381.0,276.0
484,1905.0,1815.0,1527.0,1347.0,1235.0
643,1886.0,1355.0,1193.0,1096.0,971.0
60,1886.0,2366.0,2234.0,2109.0,2039.0
291,1880.0,2228.0,2015.0,1974.0,1856.0
323,1853.0,1610.0,1531.0,1367.0,1338.0
29,1810.0,1186.0,1029.0,884.0,805.0
277,1806.0,1999.0,1959.0,2016.0,1925.0
199,1804.0,1959.0,1579.0,1133.0,974.0
805,1803.0,1804.0,1906.0,1979.0,1898.0
62,1772.0,3703.0,4628.0,5190.0,5293.0
160,1768.0,1009.0,893.0,793.0,777.0
1044,1738.0,1370.0,1320.0,1264.0,1146.0
893,1710.0,1213.0,1104.0,963.0,852.0
32,1703.0,663.0,491.0,424.0,352.0
420,1681.0,1375.0,1196.0,1232.0,1155.0
1014,1669.0,1199.0,975.0,720.0,637.0
87,1668.0,1639.0,1434.0,1292.0,1196.0
481,1653.0,1153.0,1165.0,1030.0,1065.0
144,1649.0,1981.0,2249.0,2330.0,2283.0
772,1639.0,1052.0,894.0,797.0,735.0
415,1620.0,1443.0,1296.0,1152.0,1096.0
1025,1596.0,1301.0,1255.0,1110.0,1094.0
437,1595.0,387.0,243.0,142.0,112.0
12,1575.0,988.0,771.0,683.0,541.0
878,1548.0,1205.0,1124.0,1018.0,997.0
367,1543.0,1139.0,1017.0,944.0,860.0
