,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
471,32.8,19.04,12.0,3.74,2.03,69.61
66,27.0,19.11,14.95,5.54,2.65,69.25000000000001
419,27.4,19.95,14.35,5.2,2.32,69.21999999999998
519,24.9,20.51,14.9,5.84,2.83,68.97999999999999
643,33.1,17.71,12.05,4.04,2.05,68.95
591,27.9,19.95,13.65,4.8,2.46,68.75999999999999
96,35.6,16.59,10.8,3.8,1.63,68.41999999999999
501,26.7,19.25,14.4,5.26,2.5,68.11
180,25.1,19.95,14.8,5.44,2.75,68.03999999999999
287,29.3,19.46,12.1,4.96,2.08,67.9
308,19.0,21.77,17.35,6.78,2.93,67.83
332,23.8,19.6,14.75,6.22,3.19,67.56
150,28.1,19.81,11.85,5.12,2.13,67.00999999999999
341,33.9,18.06,9.7,3.26,1.52,66.44
112,25.0,18.83,15.25,4.76,2.48,66.32
518,27.1,18.48,12.85,5.22,2.58,66.23
669,27.8,18.06,13.25,4.6,2.49,66.2
111,18.9,22.4,16.0,5.76,2.59,65.64999999999999
335,27.0,17.92,13.3,5.04,2.12,65.38
672,40.3,12.74,8.05,2.22,1.02,64.33
631,17.3,23.73,14.3,6.02,2.82,64.16999999999999
689,23.2,17.57,14.9,4.9,2.51,63.07999999999999
368,23.8,18.97,13.25,4.64,2.24,62.9
12,24.4,16.17,14.1,5.42,2.8,62.89
394,26.7,16.94,11.75,5.3,2.13,62.82
333,21.4,18.34,14.2,6.08,2.74,62.76
489,15.9,29.75,11.35,3.84,1.61,62.45
404,24.1,17.78,13.1,4.98,2.41,62.37000000000001
340,25.8,17.85,11.8,4.54,2.25,62.24
668,20.2,18.9,14.35,5.48,3.09,62.02
418,25.5,16.8,12.2,5.04,2.42,61.96
569,23.7,18.13,11.85,4.78,2.28,60.74
425,24.1,17.57,11.7,4.84,2.42,60.63000000000001
509,,29.12,20.0,7.38,3.95,60.45000000000001
496,23.6,16.38,12.85,4.78,2.71,60.32000000000001
600,,30.8,18.95,6.96,3.34,60.05
472,21.9,16.73,13.2,5.36,2.63,59.82
46,22.4,17.01,12.65,5.04,2.57,59.67
82,38.2,11.76,6.5,1.96,0.98,59.4
737,2.9,30.31,17.4,6.04,2.71,59.36
538,33.7,14.07,7.9,2.42,1.24,59.33000000000001
305,10.0,28.42,13.65,5.1,1.98,59.15
240,21.2,16.45,13.4,5.06,2.56,58.67
343,23.0,18.27,10.2,4.78,2.39,58.64
663,27.8,14.56,10.05,4.26,1.96,58.63
403,17.4,18.27,14.75,5.54,2.63,58.59
700,38.0,10.92,6.7,2.12,0.82,58.56
153,23.4,15.47,12.05,4.98,2.38,58.28000000000001
72,22.1,15.26,12.9,4.96,2.59,57.81
648,27.8,15.61,9.3,3.42,1.67,57.8
761,34.2,13.65,6.65,2.28,0.74,57.52
570,25.9,15.54,10.0,3.74,1.71,56.89
468,20.9,16.87,12.15,4.54,2.39,56.85
304,22.3,16.66,10.9,4.52,2.39,56.77
94,35.1,12.25,6.4,2.1,0.77,56.62000000000001
244,16.7,18.69,13.45,4.88,2.78,56.50000000000001
723,26.1,15.05,9.95,3.5,1.69,56.290000000000006
11,21.0,16.87,11.7,4.36,2.35,56.28000000000001
497,18.0,18.34,12.3,4.68,2.61,55.93
42,16.4,17.36,14.0,5.44,2.59,55.78999999999999
179,27.9,14.35,9.15,2.82,1.47,55.69
650,18.2,15.61,13.4,5.5,2.83,55.54
163,33.6,11.2,7.35,2.32,0.81,55.28
432,17.0,16.8,13.0,5.4,2.82,55.02
