,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
572,12627.0,7920.0,6258.0,5065.0,4106.0
417,7817.0,4379.0,3469.0,2558.0,2075.0
608,7727.0,4849.0,4184.0,3617.0,3316.0
728,7406.0,2540.0,1529.0,1068.0,760.0
459,6997.0,3523.0,3132.0,2311.0,1841.0
130,6759.0,4951.0,4235.0,3524.0,2990.0
194,6538.0,3878.0,3316.0,2387.0,2032.0
379,6036.0,3827.0,3596.0,3063.0,2635.0
660,5650.0,5223.0,4960.0,4775.0,4504.0
181,5610.0,3691.0,3586.0,2975.0,2661.0
100,5498.0,4723.0,3149.0,2430.0,2097.0
488,4909.0,2500.0,2298.0,1948.0,1781.0
314,4828.0,4788.0,4463.0,4410.0,3914.0
35,4482.0,5535.0,3466.0,2705.0,2348.0
731,4346.0,2654.0,2409.0,2081.0,1797.0
503,4246.0,2732.0,2133.0,1868.0,1549.0
434,4141.0,3240.0,2810.0,2502.0,2351.0
500,4108.0,2547.0,2392.0,2027.0,1826.0
245,3981.0,2059.0,1460.0,1273.0,1093.0
331,3855.0,2989.0,2742.0,2604.0,2440.0
474,3802.0,3720.0,4008.0,3939.0,3788.0
450,3738.0,2723.0,2157.0,1851.0,1748.0
491,3633.0,1815.0,1318.0,1082.0,952.0
594,3630.0,1573.0,1196.0,1021.0,831.0
322,3526.0,3984.0,3789.0,3320.0,2958.0
317,3524.0,1885.0,1650.0,1244.0,1077.0
22,3435.0,3054.0,2864.0,2403.0,2095.0
715,3411.0,1868.0,1538.0,1196.0,1108.0
712,3376.0,2046.0,1803.0,1505.0,1374.0
69,3237.0,2585.0,2405.0,2162.0,2034.0
365,3167.0,2006.0,1746.0,1590.0,1381.0
437,3122.0,1806.0,1475.0,1207.0,1055.0
345,3108.0,2283.0,1815.0,1534.0,1405.0
676,2994.0,1767.0,1627.0,1432.0,1236.0
563,2832.0,2363.0,1964.0,1888.0,1722.0
174,2750.0,2299.0,2246.0,2144.0,1965.0
242,2749.0,2249.0,2139.0,1977.0,1703.0
228,2746.0,2585.0,2585.0,2642.0,2552.0
17,2723.0,2510.0,1968.0,1740.0,1561.0
675,2668.0,1381.0,940.0,734.0,609.0
440,2651.0,2000.0,1948.0,1681.0,1508.0
496,2585.0,2349.0,2288.0,2125.0,2051.0
513,2559.0,1523.0,1186.0,1033.0,884.0
462,2545.0,1147.0,973.0,781.0,681.0
389,2484.0,991.0,681.0,520.0,417.0
639,2482.0,1697.0,1377.0,1113.0,975.0
696,2474.0,3681.0,4145.0,4412.0,4398.0
723,2466.0,1782.0,1666.0,1588.0,1407.0
672,2446.0,1071.0,775.0,652.0,531.0
306,2300.0,2202.0,1880.0,1864.0,1780.0
695,2285.0,1597.0,1473.0,1321.0,1279.0
668,2217.0,2509.0,2658.0,2632.0,2517.0
21,2210.0,1654.0,1304.0,1100.0,1015.0
516,2188.0,2340.0,1868.0,1684.0,1515.0
518,2170.0,2091.0,1904.0,1830.0,1750.0
75,2145.0,1388.0,1175.0,983.0,867.0
589,2115.0,2090.0,1961.0,1998.0,1755.0
554,2092.0,2133.0,2040.0,1919.0,1849.0
761,2088.0,1209.0,787.0,614.0,487.0
284,2079.0,2741.0,2115.0,1943.0,1761.0
235,2077.0,2641.0,2368.0,2174.0,2110.0
302,2043.0,1648.0,1586.0,1496.0,1362.0
182,2042.0,2290.0,2306.0,2047.0,1905.0
129,2035.0,2344.0,2513.0,2559.0,2519.0
583,2025.0,1821.0,1852.0,1730.0,1753.0
657,2001.0,1672.0,1526.0,1384.0,1151.0
436,1996.0,2692.0,2337.0,2129.0,1947.0
637,1975.0,1437.0,1273.0,1151.0,1017.0
221,1968.0,2168.0,2458.0,2423.0,2474.0
461,1965.0,2126.0,2482.0,2519.0,2551.0
398,1949.0,745.0,540.0,408.0,345.0
586,1936.0,1904.0,1673.0,1564.0,1404.0
615,1908.0,665.0,522.0,290.0,290.0
179,1902.0,1298.0,1057.0,792.0,695.0
24,1886.0,2026.0,2325.0,2173.0,2034.0
223,1862.0,1364.0,1259.0,1101.0,1022.0
483,1853.0,1851.0,1984.0,1893.0,1839.0
66,1848.0,1974.0,1956.0,2098.0,1988.0
700,1822.0,905.0,658.0,510.0,434.0
419,1805.0,1656.0,1596.0,1542.0,1441.0
404,1803.0,1924.0,1857.0,1753.0,1690.0
425,1802.0,1491.0,1440.0,1374.0,1307.0
598,1801.0,2303.0,1897.0,1698.0,1485.0
532,1784.0,1774.0,1904.0,1838.0,1867.0
575,1778.0,1442.0,1339.0,1318.0,1212.0
446,1771.0,1850.0,1639.0,1557.0,1416.0
392,1765.0,1815.0,1743.0,1578.0,1377.0
341,1764.0,1199.0,1025.0,894.0,800.0
454,1740.0,1506.0,1429.0,1255.0,1279.0
319,1738.0,1111.0,1003.0,895.0,893.0
486,1727.0,1237.0,1346.0,1153.0,1091.0
329,1724.0,1542.0,1114.0,991.0,920.0
12,1719.0,1773.0,1956.0,2088.0,2030.0
587,1717.0,1696.0,1817.0,1892.0,1864.0
178,1705.0,961.0,798.0,597.0,564.0
323,1682.0,2435.0,3238.0,3530.0,3743.0
580,1650.0,1399.0,1279.0,1200.0,1134.0
290,1637.0,1928.0,1076.0,872.0,733.0
613,1630.0,1600.0,1160.0,1049.0,889.0
644,1624.0,1714.0,1814.0,1702.0,1697.0
92,1621.0,1225.0,1014.0,791.0,750.0
538,1608.0,958.0,834.0,663.0,584.0
661,1600.0,1763.0,1940.0,1984.0,2018.0
156,1584.0,1360.0,1270.0,1079.0,1019.0
701,1584.0,1311.0,1024.0,985.0,927.0
287,1581.0,1477.0,1369.0,1275.0,1112.0
650,1577.0,2050.0,2060.0,2066.0,1994.0
669,1568.0,1376.0,1436.0,1405.0,1347.0
729,1564.0,864.0,730.0,670.0,564.0
65,1533.0,813.0,594.0,525.0,468.0
15,1523.0,1215.0,1219.0,1154.0,1074.0
350,1514.0,494.0,360.0,289.0,254.0
418,1513.0,1310.0,1401.0,1406.0,1415.0
408,1511.0,1942.0,2061.0,2084.0,2166.0
304,1488.0,1189.0,1231.0,1221.0,1225.0
326,1458.0,1463.0,1425.0,1353.0,1354.0
239,1452.0,1266.0,964.0,823.0,722.0
45,1439.0,1031.0,817.0,663.0,623.0
694,1438.0,1335.0,1214.0,1182.0,1056.0
359,1408.0,1089.0,996.0,847.0,772.0
641,1406.0,2284.0,1855.0,1579.0,1502.0
42,1396.0,1935.0,2033.0,2133.0,2023.0
368,1374.0,1441.0,1392.0,1236.0,1232.0
82,1367.0,667.0,508.0,449.0,384.0
123,1362.0,1160.0,1120.0,1010.0,886.0
456,1359.0,1090.0,1010.0,875.0,744.0
689,1355.0,1536.0,1615.0,1489.0,1447.0
176,1336.0,1863.0,1684.0,1834.0,1623.0
52,1336.0,1554.0,1625.0,1650.0,1580.0
455,1330.0,1306.0,1299.0,1179.0,1079.0
96,1316.0,864.0,784.0,692.0,575.0
1,1306.0,1536.0,1773.0,1721.0,1814.0
733,1301.0,1076.0,1056.0,954.0,829.0
41,1298.0,1144.0,1078.0,1000.0,992.0
102,1282.0,1784.0,1779.0,1902.0,1810.0
104,1279.0,1237.0,1233.0,1170.0,1082.0
591,1279.0,1116.0,1195.0,1137.0,1114.0
497,1251.0,1644.0,1819.0,1781.0,1734.0
312,1250.0,1443.0,1541.0,1574.0,1517.0
344,1246.0,1058.0,1007.0,909.0,804.0
501,1219.0,1242.0,1159.0,1182.0,1055.0
628,1203.0,980.0,963.0,934.0,911.0
364,1186.0,1984.0,1128.0,873.0,693.0
334,1181.0,1572.0,1883.0,1950.0,1971.0
471,1179.0,1107.0,987.0,804.0,819.0
484,1176.0,969.0,758.0,615.0,575.0
133,1168.0,1685.0,1715.0,1708.0,1679.0
56,1168.0,1097.0,1039.0,935.0,866.0
481,1167.0,1814.0,1882.0,1890.0,1872.0
766,1161.0,824.0,645.0,564.0,496.0
643,1156.0,968.0,928.0,883.0,865.0
531,1153.0,842.0,794.0,662.0,596.0
311,1152.0,1348.0,1347.0,1220.0,1327.0
631,1140.0,2708.0,2485.0,2304.0,2138.0
423,1121.0,1358.0,1505.0,1588.0,1715.0
565,1119.0,1327.0,1408.0,1425.0,1458.0
649,1115.0,1545.0,2159.0,2463.0,2590.0
663,1095.0,963.0,832.0,812.0,877.0
557,1095.0,1817.0,1768.0,1671.0,1652.0
333,1093.0,1268.0,1384.0,1379.0,1363.0
658,1086.0,1223.0,1238.0,1283.0,1302.0
551,1066.0,1076.0,966.0,889.0,847.0
340,1058.0,1070.0,1006.0,973.0,907.0
211,1047.0,892.0,826.0,682.0,592.0
343,1042.0,1013.0,1087.0,1075.0,1032.0
570,1042.0,894.0,857.0,829.0,818.0
309,1037.0,867.0,784.0,776.0,666.0
111,1028.0,2247.0,2011.0,1993.0,1785.0
603,1016.0,1072.0,1207.0,1228.0,1303.0
717,1008.0,1306.0,1374.0,1474.0,1444.0
674,1006.0,1113.0,1347.0,1368.0,1401.0
120,990.0,885.0,793.0,728.0,695.0
288,983.0,1002.0,1054.0,1085.0,1070.0
581,979.0,992.0,1119.0,1143.0,1246.0
53,969.0,1599.0,1848.0,1982.0,1897.0
252,964.0,352.0,247.0,197.0,182.0
625,962.0,1870.0,1528.0,1399.0,1325.0
638,961.0,1295.0,1174.0,1080.0,974.0
371,951.0,680.0,663.0,561.0,616.0
750,943.0,523.0,391.0,329.0,240.0
244,934.0,1346.0,1361.0,1350.0,1403.0
327,928.0,394.0,362.0,302.0,253.0
552,924.0,541.0,470.0,412.0,377.0
765,916.0,844.0,887.0,892.0,915.0
492,897.0,996.0,1081.0,1173.0,1219.0
342,893.0,815.0,697.0,636.0,570.0
585,885.0,680.0,711.0,616.0,607.0
719,884.0,865.0,912.0,928.0,946.0
773,867.0,949.0,1014.0,1083.0,1088.0
401,865.0,1115.0,1127.0,1279.0,1218.0
238,859.0,1013.0,996.0,1009.0,941.0
673,859.0,628.0,581.0,554.0,492.0
321,854.0,1365.0,1731.0,1921.0,2191.0
445,852.0,730.0,1426.0,1409.0,1415.0
11,849.0,884.0,815.0,831.0,751.0
151,835.0,382.0,356.0,276.0,270.0
665,835.0,874.0,698.0,679.0,659.0
519,832.0,998.0,1101.0,1055.0,1069.0
388,827.0,120.0,87.0,45.0,34.0
180,825.0,987.0,988.0,1005.0,1117.0
472,814.0,966.0,990.0,1029.0,1085.0
186,793.0,382.0,326.0,254.0,233.0
409,787.0,980.0,1078.0,1039.0,1054.0
73,778.0,499.0,436.0,392.0,370.0
107,776.0,983.0,1231.0,1269.0,1269.0
313,768.0,1236.0,1562.0,1734.0,1785.0
94,762.0,351.0,302.0,222.0,219.0
476,762.0,978.0,1111.0,1207.0,1179.0
125,755.0,1368.0,1492.0,1642.0,1696.0
734,752.0,1063.0,1351.0,1609.0,1575.0
170,739.0,1157.0,1406.0,1471.0,1484.0
3,738.0,525.0,474.0,484.0,463.0
195,733.0,578.0,389.0,366.0,314.0
373,730.0,646.0,520.0,527.0,518.0
37,722.0,1074.0,1267.0,1345.0,1445.0
720,721.0,416.0,250.0,167.0,160.0
240,719.0,803.0,834.0,827.0,822.0
274,714.0,243.0,209.0,166.0,127.0
217,705.0,882.0,1014.0,1098.0,1021.0
108,694.0,1014.0,1314.0,1426.0,1630.0
403,685.0,980.0,1056.0,1166.0,1021.0
150,674.0,569.0,628.0,643.0,673.0
490,673.0,1300.0,1813.0,2140.0,2047.0
387,667.0,895.0,1164.0,1309.0,1417.0
271,666.0,295.0,247.0,212.0,166.0
32,650.0,466.0,379.0,350.0,304.0
356,644.0,1271.0,2013.0,2517.0,2917.0
558,637.0,884.0,1253.0,1394.0,1380.0
6,625.0,912.0,1119.0,1131.0,1104.0
648,619.0,463.0,427.0,463.0,410.0
526,618.0,738.0,959.0,938.0,1006.0
662,601.0,806.0,879.0,908.0,916.0
502,601.0,715.0,916.0,1015.0,1105.0
753,590.0,2643.0,2548.0,2256.0,2058.0
555,588.0,1360.0,1466.0,1610.0,1737.0
161,586.0,796.0,952.0,1101.0,1173.0
85,586.0,915.0,1140.0,1338.0,1457.0
105,574.0,740.0,835.0,866.0,906.0
349,573.0,458.0,472.0,435.0,381.0
157,571.0,260.0,215.0,173.0,141.0
634,570.0,639.0,729.0,723.0,762.0
26,559.0,905.0,734.0,707.0,640.0
118,546.0,606.0,666.0,694.0,802.0
479,545.0,681.0,708.0,715.0,761.0
308,543.0,1597.0,1447.0,1331.0,1264.0
38,542.0,731.0,941.0,1063.0,1098.0
50,541.0,720.0,787.0,939.0,952.0
622,532.0,627.0,742.0,692.0,727.0
770,528.0,788.0,1079.0,1123.0,1239.0
569,522.0,610.0,689.0,722.0,756.0
135,517.0,837.0,1103.0,1196.0,1309.0
222,513.0,289.0,209.0,135.0,104.0
46,512.0,638.0,732.0,764.0,825.0
363,505.0,386.0,357.0,317.0,297.0
325,505.0,587.0,668.0,672.0,695.0
429,493.0,708.0,791.0,965.0,1038.0
420,490.0,786.0,898.0,947.0,1019.0
407,483.0,764.0,885.0,1039.0,1107.0
747,479.0,626.0,676.0,659.0,638.0
369,475.0,561.0,643.0,751.0,760.0
