,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
510,3.0,9.0,12.0,31.0,64.0
579,3.0,13.0,30.0,53.0,78.0
160,3.0,21.0,37.0,69.0,102.0
214,3.0,25.0,58.0,97.0,138.0
756,3.0,10.0,13.0,12.0,15.0
310,3.0,,1.0,,1.0
234,3.0,9.0,10.0,19.0,14.0
354,3.0,3.0,4.0,5.0,16.0
439,3.0,89.0,175.0,244.0,339.0
469,2.0,10.0,17.0,55.0,80.0
128,2.0,20.0,24.0,49.0,102.0
546,2.0,,4.0,2.0,3.0
71,2.0,3.0,4.0,14.0,19.0
745,2.0,8.0,30.0,55.0,84.0
191,2.0,4.0,3.0,18.0,20.0
464,2.0,1.0,1.0,1.0,
426,2.0,17.0,43.0,86.0,123.0
246,2.0,5.0,11.0,24.0,45.0
218,1.0,,1.0,,
495,1.0,1.0,3.0,8.0,20.0
710,1.0,1.0,3.0,1.0,2.0
281,1.0,2.0,19.0,31.0,62.0
504,1.0,5.0,4.0,7.0,4.0
578,1.0,,,2.0,2.0
279,1.0,2.0,7.0,11.0,12.0
391,1.0,8.0,18.0,21.0,35.0
142,1.0,,2.0,,
521,1.0,5.0,9.0,10.0,9.0
722,1.0,1.0,6.0,7.0,6.0
5,,,1.0,,1.0
14,,1.0,7.0,3.0,12.0
58,,1.0,,,1.0
68,,4.0,2.0,6.0,20.0
78,,,1.0,,
79,,,2.0,,7.0
86,,322.0,460.0,554.0,594.0
99,,1.0,,11.0,13.0
103,,800.0,892.0,1043.0,994.0
106,,3.0,,,
126,,1.0,,1.0,
154,,,3.0,22.0,35.0
165,,1.0,,,3.0
168,,3.0,5.0,6.0,10.0
185,,,,1.0,
201,,1.0,1.0,6.0,2.0
212,,11.0,29.0,55.0,103.0
216,,4.0,5.0,6.0,8.0
229,,2.0,6.0,2.0,5.0
250,,141.0,292.0,434.0,546.0
256,,1.0,,,2.0
268,,,1.0,,
275,,2.0,5.0,12.0,13.0
318,,598.0,303.0,277.0,226.0
336,,,3.0,9.0,25.0
381,,500.0,320.0,334.0,259.0
427,,1.0,9.0,24.0,45.0
431,,1.0,1.0,2.0,
442,,1.0,2.0,19.0,31.0
448,,,2.0,2.0,7.0
449,,1263.0,1192.0,1224.0,1186.0
452,,3.0,3.0,22.0,41.0
458,,,,1.0,
463,,,7.0,11.0,16.0
475,,5.0,20.0,43.0,81.0
480,,1.0,3.0,,2.0
498,,2.0,1.0,1.0,6.0
509,,2200.0,1958.0,2000.0,1956.0
528,,,3.0,6.0,13.0
533,,,7.0,22.0,34.0
534,,1.0,8.0,19.0,36.0
541,,46.0,127.0,223.0,297.0
545,,8.0,40.0,96.0,164.0
549,,,,1.0,
555,,1022.0,1219.0,1267.0,1202.0
566,,7.0,9.0,28.0,52.0
584,,,1.0,2.0,19.0
596,,1389.0,1349.0,1235.0,1169.0
599,,1.0,,,2.0
600,,2355.0,2035.0,1726.0,1460.0
601,,1.0,3.0,13.0,17.0
614,,222.0,404.0,471.0,589.0
618,,,,7.0,7.0
626,,6.0,31.0,71.0,133.0
645,,2.0,5.0,11.0,24.0
653,,1040.0,733.0,637.0,540.0
679,,2.0,9.0,22.0,33.0
681,,7.0,24.0,42.0,72.0
685,,3.0,7.0,18.0,28.0
697,,570.0,75.0,46.0,24.0
707,,3.0,29.0,59.0,84.0
709,,696.0,591.0,509.0,479.0
742,,,,,1.0
748,,,,2.0,9.0
776,,8.0,16.0,60.0,83.0
778,,15.0,28.0,80.0,130.0
779,,,,,1.0
782,,2.0,3.0,11.0,40.0
783,,,1.0,,1.0
785,,7.0,32.0,76.0,120.0
786,,,,,1.0
787,,2.0,10.0,17.0,36.0
