,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
680,3619.0,384.0,183.0,122.0,52.0
552,2273.0,1032.0,719.0,552.0,516.0
111,1705.0,1216.0,1128.0,957.0,881.0
468,1559.0,1390.0,1315.0,1183.0,1195.0
759,1485.0,913.0,753.0,643.0,549.0
35,1382.0,1193.0,793.0,597.0,486.0
151,1317.0,591.0,479.0,333.0,334.0
440,1302.0,894.0,709.0,598.0,537.0
663,1295.0,1005.0,952.0,835.0,773.0
394,1280.0,1185.0,1030.0,973.0,857.0
500,1209.0,717.0,599.0,500.0,481.0
307,1196.0,740.0,624.0,508.0,463.0
112,1140.0,916.0,721.0,569.0,501.0
163,1129.0,617.0,423.0,320.0,312.0
628,1084.0,854.0,744.0,670.0,621.0
23,1050.0,815.0,385.0,284.0,230.0
153,1021.0,866.0,709.0,630.0,588.0
104,1011.0,922.0,758.0,721.0,609.0
150,996.0,783.0,711.0,731.0,599.0
195,984.0,421.0,300.0,227.0,183.0
454,982.0,791.0,714.0,616.0,577.0
487,955.0,1112.0,1064.0,985.0,945.0
238,856.0,1099.0,876.0,857.0,788.0
146,841.0,551.0,404.0,322.0,283.0
665,828.0,687.0,586.0,469.0,439.0
580,803.0,732.0,560.0,568.0,493.0
499,798.0,1006.0,1015.0,987.0,952.0
240,777.0,811.0,801.0,785.0,746.0
20,771.0,500.0,353.0,259.0,212.0
445,761.0,757.0,648.0,536.0,533.0
217,750.0,742.0,656.0,710.0,672.0
194,692.0,551.0,467.0,390.0,338.0
107,683.0,874.0,981.0,859.0,846.0
31,680.0,904.0,1127.0,1164.0,1225.0
478,678.0,884.0,977.0,1033.0,1068.0
675,674.0,291.0,208.0,172.0,142.0
572,669.0,515.0,435.0,404.0,340.0
100,659.0,933.0,553.0,440.0,426.0
166,654.0,721.0,648.0,538.0,482.0
345,646.0,406.0,372.0,292.0,281.0
729,644.0,326.0,270.0,212.0,203.0
365,644.0,351.0,300.0,238.0,261.0
682,642.0,711.0,717.0,670.0,654.0
460,640.0,621.0,578.0,629.0,601.0
670,632.0,739.0,845.0,854.0,776.0
190,630.0,806.0,828.0,855.0,786.0
94,630.0,280.0,215.0,161.0,162.0
84,627.0,730.0,693.0,679.0,626.0
113,623.0,1166.0,483.0,296.0,247.0
459,620.0,399.0,418.0,314.0,270.0
385,601.0,630.0,725.0,614.0,605.0
433,593.0,626.0,768.0,761.0,745.0
327,585.0,264.0,197.0,155.0,104.0
121,572.0,639.0,524.0,437.0,403.0
687,572.0,404.0,360.0,296.0,251.0
335,567.0,612.0,653.0,597.0,579.0
329,556.0,375.0,346.0,312.0,269.0
305,555.0,459.0,417.0,359.0,329.0
299,547.0,486.0,419.0,336.0,298.0
290,539.0,416.0,271.0,239.0,165.0
34,539.0,318.0,272.0,249.0,195.0
157,536.0,284.0,171.0,132.0,114.0
109,532.0,528.0,575.0,613.0,565.0
503,518.0,435.0,375.0,331.0,280.0
362,508.0,189.0,91.0,92.0,81.0
274,502.0,203.0,164.0,110.0,98.0
479,489.0,570.0,528.0,535.0,506.0
306,486.0,448.0,371.0,335.0,287.0
693,476.0,372.0,323.0,351.0,290.0
97,471.0,563.0,617.0,594.0,621.0
43,468.0,556.0,668.0,749.0,690.0
746,467.0,405.0,389.0,444.0,408.0
40,462.0,580.0,597.0,683.0,678.0
758,460.0,563.0,550.0,528.0,555.0
547,454.0,386.0,311.0,271.0,277.0
271,443.0,163.0,142.0,97.0,97.0
225,442.0,544.0,447.0,425.0,371.0
462,434.0,274.0,204.0,171.0,136.0
230,425.0,559.0,608.0,632.0,586.0
223,425.0,392.0,316.0,299.0,248.0
643,424.0,312.0,321.0,299.0,284.0
704,419.0,693.0,903.0,977.0,1042.0
244,418.0,500.0,490.0,487.0,466.0
210,410.0,469.0,605.0,598.0,645.0
518,409.0,433.0,415.0,405.0,375.0
760,403.0,521.0,566.0,591.0,563.0
371,400.0,299.0,311.0,248.0,229.0
551,398.0,418.0,402.0,335.0,317.0
349,392.0,302.0,259.0,218.0,190.0
625,380.0,305.0,287.0,256.0,242.0
727,377.0,392.0,369.0,329.0,300.0
82,376.0,198.0,171.0,153.0,120.0
