,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
146,6796.0,3554.0,2550.0,1930.0,1472.0
194,6264.0,3709.0,2935.0,2347.0,1968.0
459,5483.0,2937.0,2625.0,1952.0,1610.0
572,5462.0,3730.0,2939.0,2442.0,2068.0
437,4923.0,2312.0,1743.0,1415.0,1147.0
317,4142.0,2138.0,1725.0,1503.0,1320.0
728,3932.0,1477.0,935.0,634.0,494.0
322,3878.0,3810.0,3567.0,3061.0,2746.0
130,3714.0,3133.0,2667.0,2278.0,2056.0
22,3532.0,2604.0,2261.0,1835.0,1561.0
438,3272.0,2533.0,2392.0,2036.0,1890.0
394,3264.0,2664.0,2389.0,2369.0,2191.0
759,3239.0,2085.0,1809.0,1637.0,1477.0
319,3236.0,1963.0,1683.0,1511.0,1361.0
462,3169.0,1512.0,1165.0,971.0,852.0
665,3060.0,2290.0,2043.0,1834.0,1746.0
503,3041.0,2134.0,1805.0,1628.0,1452.0
82,3021.0,1260.0,925.0,770.0,708.0
500,2991.0,1963.0,1787.0,1547.0,1433.0
163,2912.0,1503.0,1108.0,940.0,842.0
594,2768.0,1399.0,1086.0,899.0,817.0
365,2619.0,1586.0,1384.0,1258.0,1126.0
673,2617.0,1691.0,1407.0,1176.0,1052.0
65,2608.0,1215.0,1043.0,777.0,688.0
41,2604.0,2044.0,1785.0,1634.0,1528.0
359,2593.0,1971.0,1648.0,1556.0,1407.0
307,2568.0,3710.0,2700.0,2175.0,1910.0
166,2530.0,1954.0,1673.0,1339.0,1223.0
765,2499.0,2036.0,1957.0,1883.0,1879.0
45,2470.0,1618.0,1286.0,1070.0,951.0
731,2469.0,1713.0,1523.0,1216.0,1179.0
440,2463.0,1893.0,1602.0,1409.0,1366.0
379,2432.0,1804.0,1691.0,1481.0,1415.0
712,2404.0,1422.0,1244.0,1038.0,948.0
701,2349.0,1756.0,1532.0,1347.0,1162.0
94,2341.0,1061.0,829.0,661.0,611.0
575,2334.0,2020.0,1958.0,1679.0,1460.0
23,2326.0,1813.0,914.0,669.0,510.0
608,2320.0,1518.0,1345.0,1150.0,1015.0
445,2316.0,1634.0,1881.0,1621.0,1580.0
628,2311.0,1920.0,1770.0,1632.0,1602.0
450,2306.0,1699.0,1373.0,1148.0,1005.0
223,2304.0,1824.0,1614.0,1487.0,1369.0
373,2295.0,1615.0,1366.0,1183.0,1155.0
309,2286.0,1767.0,1502.0,1321.0,1285.0
239,2276.0,1578.0,1266.0,1086.0,824.0
31,2276.0,2551.0,2754.0,2738.0,2715.0
345,2262.0,1663.0,1320.0,1282.0,1082.0
456,2250.0,1680.0,1365.0,1233.0,1093.0
468,2210.0,2257.0,2320.0,2170.0,2130.0
719,2195.0,2234.0,2224.0,2214.0,2144.0
552,2191.0,1140.0,917.0,790.0,632.0
242,2179.0,1798.0,1636.0,1433.0,1317.0
675,2139.0,1152.0,759.0,579.0,528.0
104,2139.0,1898.0,1679.0,1619.0,1490.0
331,2128.0,1705.0,1687.0,1502.0,1510.0
491,2119.0,1204.0,946.0,792.0,709.0
639,2091.0,1733.0,1288.0,1102.0,979.0
648,2088.0,1434.0,1236.0,1137.0,1000.0
488,2070.0,1199.0,1119.0,934.0,862.0
551,2046.0,2010.0,1634.0,1426.0,1296.0
181,2033.0,1538.0,1491.0,1298.0,1151.0
680,2025.0,171.0,86.0,52.0,37.0
