,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
146,8463.0,4076.0,3051.0,2123.0,1679.0
417,7146.0,4096.0,3096.0,2313.0,1962.0
194,6595.0,3811.0,3067.0,2442.0,2001.0
572,6428.0,4313.0,3427.0,2685.0,2261.0
459,5868.0,3156.0,2583.0,2059.0,1545.0
728,5267.0,1915.0,1132.0,855.0,628.0
130,5198.0,4026.0,3533.0,3069.0,2610.0
22,4273.0,3477.0,2939.0,2587.0,2220.0
437,4044.0,2137.0,1798.0,1397.0,1169.0
322,3926.0,4289.0,3776.0,3342.0,2917.0
317,3923.0,2042.0,1673.0,1409.0,1278.0
503,3912.0,2492.0,2108.0,1843.0,1613.0
608,3546.0,2378.0,1900.0,1652.0,1585.0
379,3471.0,2503.0,2272.0,1992.0,1829.0
462,3160.0,1591.0,1250.0,1003.0,902.0
450,3085.0,2283.0,1737.0,1526.0,1397.0
500,3026.0,1983.0,1819.0,1677.0,1475.0
181,2974.0,2122.0,1902.0,1710.0,1601.0
731,2940.0,2023.0,1766.0,1562.0,1372.0
712,2921.0,1827.0,1555.0,1341.0,1200.0
331,2825.0,2349.0,2136.0,2019.0,1863.0
223,2798.0,2030.0,1885.0,1607.0,1523.0
365,2786.0,1797.0,1547.0,1328.0,1117.0
434,2752.0,1997.0,1802.0,1573.0,1530.0
488,2751.0,1565.0,1502.0,1303.0,1192.0
719,2690.0,1602.0,1369.0,1250.0,1110.0
245,2641.0,1353.0,1013.0,811.0,689.0
319,2624.0,1758.0,1480.0,1339.0,1233.0
242,2574.0,2224.0,1983.0,1803.0,1616.0
639,2560.0,2069.0,1541.0,1338.0,1123.0
239,2521.0,1882.0,1471.0,1163.0,990.0
45,2501.0,1585.0,1156.0,1078.0,926.0
491,2480.0,1361.0,1107.0,939.0,822.0
673,2447.0,1576.0,1340.0,1193.0,989.0
345,2425.0,1813.0,1541.0,1301.0,1137.0
440,2383.0,2004.0,1710.0,1566.0,1348.0
174,2339.0,1994.0,1951.0,1876.0,1731.0
65,2316.0,1100.0,841.0,663.0,579.0
695,2314.0,1738.0,1528.0,1382.0,1304.0
594,2292.0,1112.0,929.0,758.0,675.0
41,2284.0,1854.0,1712.0,1521.0,1377.0
660,2279.0,2134.0,2118.0,1987.0,1946.0
17,2270.0,1900.0,1538.0,1328.0,1223.0
513,2268.0,1286.0,1016.0,862.0,723.0
100,2258.0,2175.0,1598.0,1258.0,1141.0
563,2252.0,1907.0,1624.0,1566.0,1418.0
359,2251.0,1631.0,1405.0,1236.0,1155.0
665,2245.0,1814.0,1589.0,1404.0,1289.0
575,2230.0,1864.0,1650.0,1523.0,1470.0
675,2210.0,1280.0,817.0,704.0,567.0
314,2189.0,2055.0,1969.0,1884.0,1829.0
715,2140.0,1176.0,960.0,835.0,745.0
456,2115.0,1734.0,1379.0,1312.0,1180.0
676,2097.0,1301.0,1129.0,1017.0,929.0
701,2088.0,1711.0,1380.0,1247.0,1117.0
35,2085.0,2398.0,1789.0,1418.0,1213.0
554,2034.0,2002.0,1882.0,1821.0,1756.0
284,2025.0,2511.0,1972.0,1663.0,1478.0
672,2020.0,961.0,674.0,572.0,499.0
123,2014.0,1599.0,1443.0,1457.0,1300.0
82,2006.0,801.0,659.0,514.0,455.0
21,1980.0,1512.0,1228.0,1066.0,938.0
75,1971.0,1213.0,940.0,843.0,762.0
285,1971.0,1348.0,1309.0,1191.0,1075.0
700,1934.0,878.0,614.0,480.0,428.0
96,1931.0,1247.0,1103.0,998.0,848.0
438,1917.0,1514.0,1461.0,1295.0,1204.0
373,1913.0,1360.0,1200.0,1059.0,860.0
729,1902.0,1157.0,904.0,792.0,679.0
309,1886.0,1417.0,1280.0,1083.0,1030.0
445,1883.0,1405.0,1700.0,1582.0,1474.0
583,1874.0,1592.0,1582.0,1510.0,1433.0
454,1852.0,1547.0,1433.0,1291.0,1277.0
344,1848.0,1587.0,1316.0,1243.0,1140.0
516,1787.0,1952.0,1627.0,1489.0,1353.0
94,1781.0,765.0,619.0,446.0,452.0
302,1771.0,1458.0,1399.0,1281.0,1231.0
580,1770.0,1523.0,1460.0,1309.0,1198.0
644,1747.0,1754.0,1841.0,1749.0,1582.0
436,1739.0,2444.0,2244.0,2073.0,1909.0
69,1723.0,1370.0,1333.0,1244.0,1217.0
628,1712.0,1471.0,1375.0,1304.0,1223.0
551,1708.0,1783.0,1423.0,1288.0,1186.0
341,1704.0,1222.0,918.0,856.0,732.0
538,1700.0,1029.0,852.0,689.0,628.0
643,1689.0,1205.0,1104.0,1063.0,1052.0
637,1673.0,1253.0,1119.0,1015.0,966.0
