,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
29,28.2,20.72,14.9,6.08,3.1,73.0
348,10.6,21.7,22.3,11.92,6.46,72.97999999999998
296,3.8,24.92,26.7,11.04,6.02,72.48
271,49.2,11.9,6.9,2.32,0.86,71.17999999999998
305,30.6,21.84,12.0,4.36,2.22,71.02
255,22.6,21.7,15.7,7.16,3.52,70.67999999999998
203,16.0,18.48,19.7,10.16,5.74,70.08
343,27.2,17.92,16.1,6.2,2.54,69.96000000000001
254,7.4,24.64,23.7,9.32,4.76,69.82000000000001
551,25.6,20.16,15.0,5.52,2.5,68.78
569,24.4,19.46,14.0,5.64,2.78,66.28
625,28.0,18.9,11.8,4.6,2.26,65.56
743,28.4,20.58,10.7,4.12,1.6,65.39999999999999
503,31.0,19.32,8.2,3.56,1.64,63.72
449,,35.14,19.0,5.88,2.62,62.64
453,12.8,19.04,16.4,9.12,5.18,62.53999999999999
173,16.6,21.42,13.2,6.72,3.82,61.76
362,43.0,10.36,5.3,1.64,0.62,60.92
409,19.6,15.68,15.3,5.0,2.92,58.5
52,18.8,19.88,12.3,5.0,2.4,58.38
290,27.4,17.08,9.1,3.4,1.16,58.13999999999999
329,30.6,14.14,8.5,3.16,1.38,57.78000000000001
765,21.8,15.96,11.9,4.56,2.34,56.56
16,13.4,17.08,15.9,6.48,3.44,56.3
325,18.0,15.82,13.4,5.76,3.24,56.22
462,29.6,15.54,7.6,2.32,0.78,55.84
143,15.4,14.14,15.6,6.72,3.84,55.7
288,20.4,14.42,13.0,5.24,2.48,55.54
83,25.4,13.72,10.4,4.12,1.56,55.2
319,26.2,12.18,11.3,3.68,1.64,54.99999999999999
74,9.4,17.92,15.8,6.76,4.3,54.18
424,23.8,12.18,11.3,4.08,2.24,53.6
291,20.0,16.8,9.5,4.76,2.36,53.42
140,17.0,14.0,12.4,5.68,2.8,51.88
2,9.2,16.52,15.1,6.84,3.86,51.52
64,8.6,13.16,17.7,7.36,4.58,51.39999999999999
698,11.8,16.1,12.0,7.32,3.76,50.98
731,23.8,13.3,8.2,3.48,1.34,50.12
555,14.0,13.72,14.0,5.16,3.0,49.88
753,3.4,23.38,14.4,5.32,2.16,48.66
293,9.4,15.54,12.8,7.32,3.56,48.62
762,17.4,13.58,10.2,5.16,2.2,48.53999999999999
223,22.2,12.04,8.6,3.92,1.7,48.46
309,21.8,12.18,9.9,3.12,1.36,48.36
359,21.6,13.72,8.3,3.12,1.54,48.28
624,25.2,12.04,5.9,2.24,1.12,46.49999999999999
447,9.8,14.7,13.3,5.48,3.16,46.44
45,20.8,13.16,8.4,2.92,1.0,46.28
364,12.6,20.86,8.4,2.88,1.14,45.88
157,27.4,9.38,5.4,1.48,0.7,44.36
486,19.0,11.06,9.9,2.6,1.7,44.26000000000001
208,18.4,12.04,9.5,2.96,1.34,44.24
414,10.2,13.86,10.8,6.04,2.98,43.88
258,21.0,13.44,5.5,2.88,1.02,43.84
259,9.4,15.68,11.8,4.16,2.36,43.39999999999999
501,18.0,11.9,8.3,3.84,1.32,43.36000000000001
695,15.8,14.84,8.3,3.2,1.18,43.32
282,16.0,10.78,9.4,4.44,1.92,42.54
592,11.4,11.48,10.0,6.0,3.22,42.1
371,19.2,12.04,6.8,2.92,1.14,42.1
456,16.6,11.48,9.0,3.48,1.52,42.08
729,23.6,9.94,5.4,2.08,0.84,41.86
123,15.6,13.58,8.3,2.92,1.34,41.74000000000001
581,15.8,12.04,8.2,3.6,2.08,41.72
39,12.4,11.62,10.2,4.52,2.34,41.08
233,9.2,11.76,11.6,4.88,2.82,40.26000000000001
80,14.2,10.64,8.8,3.88,2.22,39.74
436,11.6,12.88,9.6,4.16,1.5,39.74
594,21.0,9.94,6.1,1.48,0.8,39.31999999999999
