,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
923,16.0,80.0,140.0,205.0,256.0
12,15.0,228.0,226.0,160.0,149.0
719,14.0,16.0,36.0,58.0,70.0
893,14.0,24.0,18.0,30.0,25.0
575,14.0,12.0,18.0,46.0,73.0
327,14.0,625.0,1363.0,1543.0,1785.0
346,13.0,118.0,214.0,243.0,352.0
449,12.0,56.0,104.0,143.0,176.0
678,12.0,26.0,42.0,67.0,86.0
430,12.0,228.0,379.0,693.0,1240.0
734,11.0,75.0,88.0,87.0,139.0
643,11.0,16.0,18.0,32.0,48.0
834,10.0,39.0,111.0,283.0,673.0
950,10.0,33.0,55.0,63.0,74.0
414,9.0,14.0,18.0,16.0,8.0
812,9.0,18.0,32.0,46.0,72.0
995,9.0,46.0,75.0,112.0,165.0
354,9.0,32.0,24.0,43.0,42.0
722,8.0,5.0,5.0,3.0,1.0
998,8.0,1.0,1.0,2.0,
1050,8.0,13.0,13.0,15.0,14.0
304,8.0,6.0,1.0,1.0,1.0
453,7.0,16.0,36.0,49.0,47.0
716,7.0,11.0,23.0,30.0,21.0
116,6.0,3.0,12.0,25.0,24.0
420,6.0,15.0,24.0,39.0,52.0
912,6.0,129.0,171.0,132.0,118.0
770,6.0,45.0,40.0,35.0,55.0
700,5.0,6.0,4.0,5.0,3.0
650,5.0,22.0,32.0,50.0,67.0
437,5.0,19.0,5.0,20.0,27.0
528,5.0,9.0,16.0,39.0,55.0
569,5.0,29.0,92.0,123.0,194.0
740,5.0,41.0,115.0,184.0,289.0
266,4.0,22.0,46.0,107.0,194.0
693,4.0,173.0,350.0,542.0,808.0
595,4.0,6.0,16.0,9.0,11.0
769,4.0,105.0,157.0,164.0,159.0
707,4.0,99.0,176.0,259.0,381.0
284,3.0,17.0,7.0,13.0,10.0
1059,3.0,13.0,26.0,33.0,52.0
21,3.0,30.0,89.0,149.0,232.0
541,3.0,6.0,8.0,13.0,9.0
417,3.0,2.0,,2.0,1.0
1027,2.0,3.0,2.0,3.0,3.0
80,2.0,35.0,35.0,57.0,53.0
477,2.0,27.0,47.0,68.0,94.0
438,1.0,7.0,14.0,12.0,38.0
1045,1.0,3.0,21.0,25.0,44.0
397,1.0,10.0,23.0,20.0,32.0
340,1.0,4.0,10.0,17.0,25.0
315,1.0,2.0,2.0,1.0,
300,1.0,2.0,7.0,28.0,52.0
292,1.0,,1.0,,
447,1.0,27.0,89.0,207.0,449.0
863,1.0,3.0,5.0,15.0,14.0
168,1.0,3.0,7.0,11.0,20.0
522,1.0,10.0,14.0,22.0,37.0
549,1.0,32.0,100.0,57.0,45.0
556,1.0,1.0,3.0,4.0,11.0
627,1.0,1.0,2.0,,1.0
646,1.0,18.0,23.0,22.0,22.0
656,1.0,37.0,83.0,129.0,200.0
978,1.0,,110.0,121.0,132.0
704,1.0,49.0,98.0,211.0,226.0
934,1.0,,,,
777,1.0,23.0,47.0,105.0,132.0
801,1.0,1.0,2.0,10.0,12.0
