,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
794,31017.0,7302.0,4042.0,2836.0,2173.0
111,4922.0,3246.0,1847.0,1515.0,1455.0
608,4093.0,3344.0,1562.0,1285.0,1099.0
668,3516.0,5474.0,5571.0,5650.0,5938.0
150,3071.0,2730.0,1757.0,1311.0,1061.0
756,2907.0,3192.0,2978.0,2720.0,2713.0
62,2040.0,6435.0,8111.0,7471.0,6216.0
141,2012.0,2306.0,2051.0,1858.0,1595.0
193,1769.0,2070.0,1929.0,1735.0,1519.0
623,1624.0,2775.0,2816.0,2773.0,2772.0
513,1616.0,1296.0,1303.0,989.0,922.0
620,1417.0,1247.0,1129.0,1060.0,866.0
586,1258.0,906.0,713.0,613.0,597.0
291,1245.0,1293.0,1048.0,908.0,783.0
709,1229.0,1316.0,1301.0,1135.0,1088.0
456,1174.0,1840.0,1346.0,948.0,762.0
95,1152.0,987.0,946.0,867.0,768.0
351,1050.0,934.0,606.0,431.0,436.0
505,968.0,542.0,505.0,497.0,475.0
87,920.0,739.0,709.0,624.0,569.0
821,904.0,815.0,629.0,549.0,555.0
563,782.0,461.0,429.0,379.0,378.0
167,782.0,931.0,898.0,873.0,972.0
60,753.0,997.0,954.0,865.0,822.0
983,752.0,293.0,196.0,151.0,106.0
624,736.0,491.0,371.0,284.0,279.0
1080,727.0,930.0,801.0,717.0,669.0
1074,706.0,782.0,621.0,501.0,365.0
49,678.0,438.0,356.0,266.0,247.0
388,671.0,815.0,766.0,732.0,746.0
363,666.0,497.0,353.0,275.0,229.0
851,619.0,544.0,537.0,435.0,429.0
237,619.0,767.0,906.0,954.0,945.0
444,606.0,620.0,372.0,313.0,251.0
426,553.0,877.0,847.0,769.0,771.0
928,531.0,1189.0,1407.0,1565.0,1529.0
956,526.0,733.0,667.0,629.0,628.0
1,523.0,486.0,332.0,333.0,309.0
585,501.0,442.0,350.0,295.0,316.0
25,490.0,673.0,627.0,588.0,519.0
520,482.0,1148.0,1119.0,1094.0,1156.0
703,479.0,761.0,767.0,778.0,791.0
356,478.0,740.0,772.0,785.0,772.0
48,476.0,976.0,872.0,763.0,799.0
64,464.0,3131.0,3334.0,3770.0,4067.0
152,461.0,563.0,479.0,476.0,481.0
79,448.0,943.0,1319.0,1586.0,1716.0
415,440.0,580.0,530.0,433.0,354.0
759,438.0,702.0,766.0,779.0,750.0
973,426.0,358.0,334.0,291.0,279.0
735,422.0,287.0,220.0,219.0,189.0
1046,409.0,952.0,722.0,630.0,640.0
208,396.0,460.0,534.0,482.0,445.0
618,396.0,524.0,600.0,654.0,725.0
815,386.0,1171.0,1245.0,1190.0,1211.0
100,379.0,411.0,392.0,361.0,294.0
838,373.0,503.0,409.0,343.0,352.0
144,353.0,547.0,661.0,715.0,714.0
109,341.0,176.0,133.0,138.0,107.0
810,334.0,294.0,167.0,130.0,162.0
253,312.0,335.0,362.0,336.0,293.0
176,302.0,200.0,214.0,143.0,122.0
635,299.0,314.0,212.0,190.0,159.0
921,289.0,451.0,471.0,437.0,322.0
230,271.0,564.0,641.0,730.0,925.0
149,263.0,234.0,158.0,110.0,127.0
689,261.0,211.0,172.0,157.0,112.0
1022,259.0,276.0,254.0,327.0,303.0
622,257.0,441.0,533.0,609.0,629.0
321,240.0,174.0,155.0,128.0,124.0
765,220.0,140.0,96.0,92.0,85.0
130,213.0,225.0,182.0,147.0,140.0
1044,204.0,195.0,191.0,189.0,175.0
576,203.0,233.0,181.0,139.0,132.0
484,201.0,430.0,395.0,380.0,327.0
726,186.0,161.0,107.0,107.0,91.0
423,184.0,200.0,238.0,274.0,253.0
999,179.0,100.0,97.0,76.0,59.0
932,167.0,215.0,172.0,138.0,122.0
430,145.0,431.0,524.0,775.0,1024.0
782,144.0,234.0,143.0,104.0,99.0
854,143.0,348.0,630.0,914.0,1057.0
41,138.0,426.0,552.0,627.0,808.0
459,135.0,471.0,789.0,1026.0,1163.0
201,130.0,242.0,311.0,328.0,302.0
954,129.0,289.0,402.0,566.0,755.0
799,118.0,155.0,129.0,141.0,150.0
697,115.0,308.0,515.0,727.0,900.0
1051,110.0,139.0,164.0,173.0,179.0
822,108.0,190.0,213.0,201.0,259.0
555,103.0,231.0,221.0,229.0,217.0
377,102.0,489.0,535.0,537.0,643.0
685,100.0,243.0,236.0,203.0,255.0
812,98.0,151.0,164.0,164.0,212.0
318,96.0,511.0,778.0,1068.0,1161.0
449,92.0,178.0,241.0,267.0,302.0
416,87.0,70.0,64.0,73.0,51.0
805,87.0,166.0,185.0,239.0,279.0
421,85.0,68.0,76.0,70.0,65.0
1075,80.0,190.0,204.0,231.0,264.0
678,78.0,80.0,112.0,103.0,85.0
90,75.0,347.0,647.0,946.0,1204.0
10,70.0,145.0,278.0,386.0,513.0
1009,69.0,195.0,336.0,444.0,650.0
139,68.0,127.0,164.0,172.0,190.0
718,67.0,66.0,72.0,62.0,64.0
1032,64.0,70.0,78.0,93.0,72.0
656,63.0,127.0,206.0,217.0,258.0
1004,62.0,94.0,168.0,218.0,256.0
372,61.0,57.0,30.0,22.0,23.0
614,60.0,87.0,58.0,42.0,34.0
