,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
761,12611.0,6528.0,4531.0,3198.0,2459.0
618,12487.0,6101.0,4200.0,2934.0,2441.0
794,11911.0,5144.0,3263.0,2660.0,2194.0
465,7368.0,1245.0,639.0,345.0,285.0
457,6810.0,3633.0,2511.0,1834.0,1581.0
948,5206.0,4846.0,3537.0,2756.0,2271.0
111,4905.0,2675.0,1956.0,1672.0,1505.0
975,4710.0,4030.0,3143.0,2471.0,2113.0
620,4275.0,3176.0,2813.0,2683.0,2410.0
351,4218.0,2311.0,1740.0,1498.0,1370.0
1085,4212.0,7380.0,8489.0,8859.0,9112.0
608,4186.0,2291.0,1494.0,1237.0,990.0
1046,4186.0,3301.0,2884.0,2497.0,2205.0
1074,3865.0,1465.0,1216.0,997.0,882.0
544,3829.0,2442.0,1638.0,1197.0,934.0
150,3736.0,3211.0,2237.0,1729.0,1527.0
48,3585.0,3403.0,3147.0,2730.0,2510.0
130,3437.0,1767.0,1337.0,1070.0,912.0
956,3273.0,3591.0,3059.0,2779.0,2647.0
60,3170.0,4328.0,4066.0,3707.0,3488.0
668,3088.0,4216.0,4617.0,4876.0,4837.0
838,3076.0,2242.0,1962.0,1638.0,1430.0
866,2984.0,2870.0,2142.0,1617.0,1326.0
25,2943.0,2494.0,2113.0,1805.0,1576.0
68,2938.0,1815.0,1196.0,854.0,701.0
456,2911.0,2913.0,1996.0,1681.0,1385.0
291,2882.0,3092.0,2670.0,2497.0,2295.0
556,2837.0,1112.0,788.0,600.0,423.0
812,2774.0,2123.0,2059.0,1837.0,1746.0
822,2616.0,2723.0,2589.0,2448.0,2276.0
87,2539.0,2360.0,2024.0,1784.0,1653.0
1,2500.0,1961.0,1572.0,1306.0,1244.0
541,2418.0,1545.0,1012.0,744.0,580.0
366,2394.0,1021.0,691.0,478.0,388.0
323,2365.0,2221.0,1996.0,1782.0,1806.0
388,2309.0,2280.0,2237.0,2164.0,2038.0
449,2292.0,2053.0,2047.0,2014.0,1846.0
50,2265.0,1605.0,1297.0,1105.0,1044.0
1022,2240.0,2138.0,2104.0,1950.0,1868.0
62,2219.0,4666.0,6101.0,6306.0,6358.0
652,2210.0,2410.0,2080.0,1589.0,1254.0
689,2197.0,1162.0,957.0,817.0,687.0
396,2188.0,1502.0,1525.0,1321.0,1248.0
1080,2180.0,2022.0,1636.0,1415.0,1309.0
69,2150.0,3721.0,3186.0,2556.0,2258.0
555,2125.0,1688.0,1489.0,1315.0,1298.0
575,2113.0,2215.0,2237.0,2189.0,2179.0
735,2097.0,1217.0,1014.0,916.0,804.0
230,2083.0,2822.0,2818.0,2821.0,2763.0
415,2080.0,1937.0,1583.0,1483.0,1357.0
622,2069.0,2197.0,2179.0,2057.0,2035.0
234,2055.0,1470.0,1083.0,882.0,716.0
100,2039.0,2005.0,1571.0,1558.0,1262.0
