,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
618,8373.0,3649.0,2214.0,1604.0,1254.0
761,6654.0,3369.0,1996.0,1383.0,951.0
544,6296.0,2995.0,1820.0,1347.0,1055.0
866,4905.0,3886.0,2764.0,2130.0,1638.0
457,4884.0,2346.0,1575.0,1130.0,830.0
948,4881.0,4053.0,2851.0,1981.0,1585.0
68,4643.0,2188.0,1411.0,992.0,745.0
652,3973.0,3454.0,2554.0,1918.0,1435.0
351,3823.0,2018.0,1617.0,1307.0,1128.0
975,3472.0,2720.0,1897.0,1413.0,1142.0
234,3437.0,2370.0,1818.0,1494.0,1166.0
556,3392.0,1388.0,869.0,531.0,389.0
1046,3356.0,2711.0,2326.0,1944.0,1790.0
50,3239.0,2364.0,1963.0,1653.0,1368.0
366,3236.0,1303.0,909.0,697.0,492.0
541,3233.0,1662.0,1074.0,779.0,697.0
711,3078.0,1961.0,1602.0,1161.0,1009.0
838,2763.0,2069.0,1813.0,1515.0,1364.0
1057,2699.0,3461.0,3218.0,2532.0,2024.0
55,2629.0,2325.0,1973.0,1687.0,1487.0
343,2626.0,2356.0,2458.0,2276.0,2179.0
69,2603.0,4294.0,3259.0,2468.0,1982.0
48,2599.0,2624.0,2372.0,2107.0,2019.0
935,2596.0,665.0,387.0,268.0,164.0
667,2559.0,1489.0,1132.0,947.0,875.0
632,2544.0,1493.0,1233.0,1069.0,922.0
29,2536.0,1603.0,1282.0,1083.0,987.0
344,2505.0,1666.0,1355.0,1166.0,994.0
871,2474.0,1107.0,853.0,692.0,573.0
130,2472.0,1285.0,988.0,882.0,767.0
986,2462.0,1066.0,629.0,431.0,342.0
1074,2410.0,867.0,791.0,742.0,723.0
795,2372.0,3956.0,3294.0,2523.0,2079.0
251,2321.0,1748.0,1601.0,1386.0,1330.0
956,2308.0,2408.0,2027.0,2019.0,1783.0
1014,2274.0,1558.0,1092.0,763.0,670.0
199,2222.0,1913.0,1351.0,989.0,805.0
32,2215.0,1019.0,776.0,650.0,568.0
906,2179.0,2560.0,2394.0,2291.0,2116.0
898,2073.0,1462.0,1181.0,821.0,594.0
833,2054.0,932.0,704.0,566.0,497.0
794,2021.0,1060.0,751.0,641.0,558.0
528,2015.0,1524.0,1394.0,1197.0,1075.0
1056,2015.0,2007.0,1714.0,1481.0,1288.0
595,2008.0,1341.0,1090.0,952.0,892.0
391,2006.0,1895.0,1637.0,1550.0,1481.0
855,2003.0,1179.0,785.0,538.0,424.0
678,1997.0,1551.0,1416.0,1296.0,1240.0
415,1982.0,1770.0,1477.0,1426.0,1248.0
807,1980.0,1235.0,977.0,746.0,618.0
19,1976.0,1414.0,1179.0,1099.0,899.0
80,1974.0,1487.0,1186.0,1052.0,906.0
1024,1970.0,1260.0,888.0,749.0,600.0
420,1969.0,1434.0,1286.0,1219.0,1128.0
60,1963.0,2809.0,2601.0,2299.0,2258.0
100,1955.0,1793.0,1488.0,1478.0,1239.0
1080,1915.0,1665.0,1436.0,1246.0,1102.0
270,1903.0,1343.0,1160.0,1011.0,897.0
444,1865.0,1635.0,1038.0,804.0,684.0
873,1857.0,1931.0,1900.0,1818.0,1688.0
631,1854.0,1916.0,1913.0,1845.0,1717.0
620,1854.0,1594.0,1548.0,1396.0,1425.0
689,1851.0,964.0,718.0,639.0,590.0
456,1850.0,1800.0,1265.0,1057.0,947.0
150,1841.0,1626.0,1244.0,1033.0,876.0
830,1839.0,1035.0,870.0,648.0,560.0
605,1834.0,1805.0,1214.0,819.0,599.0
480,1831.0,2107.0,1731.0,1349.0,1053.0
1061,1813.0,1459.0,1234.0,1152.0,1008.0
812,1799.0,1438.0,1337.0,1289.0,1147.0
827,1780.0,1399.0,1145.0,1075.0,1051.0
437,1767.0,330.0,178.0,100.0,86.0
160,1761.0,1179.0,1053.0,980.0,842.0
340,1751.0,1837.0,1797.0,1723.0,1583.0
922,1750.0,827.0,536.0,421.0,307.0
289,1731.0,1580.0,1360.0,1359.0,1257.0
811,1717.0,1162.0,962.0,881.0,785.0
465,1708.0,237.0,133.0,65.0,48.0
1022,1700.0,1706.0,1667.0,1592.0,1524.0
988,1689.0,1063.0,838.0,744.0,710.0
396,1683.0,1199.0,1176.0,1028.0,934.0
76,1682.0,1186.0,993.0,952.0,929.0
378,1674.0,1406.0,1245.0,1220.0,1084.0
39,1644.0,959.0,770.0,617.0,567.0
110,1618.0,1817.0,1392.0,1353.0,1220.0
694,1614.0,1241.0,1169.0,1059.0,970.0
96,1587.0,1703.0,1165.0,756.0,462.0
367,1586.0,1185.0,1140.0,1083.0,963.0
645,1580.0,1307.0,1114.0,988.0,890.0
793,1578.0,1492.0,1381.0,1251.0,1115.0
291,1574.0,1827.0,1671.0,1599.0,1580.0
398,1571.0,651.0,526.0,423.0,345.0
555,1570.0,1338.0,1231.0,1189.0,1045.0
227,1569.0,1522.0,1293.0,995.0,838.0
18,1556.0,1153.0,968.0,851.0,738.0
734,1547.0,1357.0,1316.0,1249.0,1239.0
449,1541.0,1419.0,1421.0,1324.0,1313.0
727,1520.0,3533.0,3493.0,2870.0,2275.0
